Score,Younger than 30,30-39,40-49,50-61,62 or older
0,0.02,0.01,0.02,0.01,0.00
0.5,0.49,0.64,0.46,0.29,0.07
1,2.65,2.64,1.87,1.18,0.39
1.5,3.26,3.26,2.32,1.41,0.48
2,4.06,4.03,2.87,1.77,0.61
2.5,4.74,4.70,3.35,2.06,0.71
3,5.93,5.64,4.01,2.52,0.90
3.5,6.88,6.56,4.59,2.85,1.06
4,7.77,7.58,5.18,3.30,1.19
4.5,8.13,7.95,5.38,3.42,1.23
5,9.58,9.36,6.41,4.00,1.46
5.5,10.64,10.61,7.25,4.45,1.64
6,11.79,11.67,8.05,5.01,1.86
6.5,12.41,12.34,8.45,5.27,1.98
7,13.48,13.55,9.21,5.76,2.17
7.5,14.08,14.02,9.53,5.96,2.25
8,14.99,14.88,10.21,6.35,2.47
8.5,15.38,15.28,10.51,6.55,2.56
9,15.96,15.93,10.97,6.82,2.69
9.5,16.44,16.46,11.35,7.04,2.82
10,17.12,17.07,11.83,7.37,2.95
10.5,17.59,17.51,12.20,7.61,3.07
11,18.38,18.28,12.72,8.02,3.25
11.5,18.85,18.84,13.26,8.40,3.39
12,19.55,19.99,14.22,9.14,3.72
12.5,20.03,20.53,14.80,9.54,3.92
13,20.63,21.27,15.51,10.13,4.16
13.5,21.16,21.87,16.08,10.50,4.33
14,22.35,22.84,16.92,11.17,4.65
14.5,23.00,23.41,17.40,11.50,4.83
15,23.99,24.22,18.10,12.08,5.08
15.5,24.58,24.76,18.51,12.43,5.24
16,25.30,25.51,19.16,12.90,5.52
16.5,25.92,26.02,19.64,13.26,5.70
17,26.56,26.69,20.21,13.66,5.94
17.5,26.98,27.21,20.60,13.95,6.13
18,27.63,27.85,21.18,14.32,6.35
18.5,28.04,28.25,21.57,14.62,6.53
19,28.61,28.84,22.11,15.04,6.74
19.5,29.00,29.27,22.45,15.31,6.88
20,32.14,31.04,23.69,16.18,7.30
20.5,32.87,31.60,24.15,16.50,7.48
21,33.88,32.36,24.78,16.97,7.79
21.5,34.41,32.73,25.14,17.21,7.95
