Score,Low,Moderate,Middle,High
0,0.04,0.03,0.01,0.00
0.5,0.93,0.58,0.34,0.19
1,4.05,2.63,1.45,0.85
1.5,5.07,3.20,1.81,1.02
2,5.82,4.02,2.26,1.28
2.5,6.87,4.66,2.64,1.50
3,8.37,5.69,3.22,1.81
3.5,9.63,6.51,3.72,2.12
4,10.97,7.38,4.25,2.42
4.5,11.48,7.70,4.42,2.51
5,13.30,9.05,5.26,2.98
5.5,14.74,10.18,5.93,3.33
6,16.37,11.22,6.61,3.69
6.5,17.15,11.86,6.96,3.91
7,18.53,12.84,7.64,4.28
7.5,19.26,13.32,7.94,4.43
8,20.40,14.19,8.49,4.72
8.5,20.86,14.59,8.75,4.85
9,21.62,15.19,9.12,5.05
9.5,22.33,15.69,9.43,5.23
10,23.10,16.30,9.84,5.47
10.5,23.63,16.73,10.14,5.65
11,24.70,17.45,10.64,5.90
11.5,25.33,18.03,11.01,6.18
12,26.52,19.03,11.72,6.72
12.5,27.24,19.60,12.15,7.00
13,28.07,20.34,12.69,7.37
13.5,28.70,20.94,13.10,7.66
14,29.69,22.03,13.83,8.12
14.5,30.56,22.58,14.25,8.35
15,31.59,23.44,14.85,8.78
15.5,32.18,23.93,15.24,9.02
16,33.09,24.70,15.77,9.38
16.5,33.60,25.30,16.16,9.65
17,34.54,25.89,16.65,9.98
17.5,35.28,26.38,16.97,10.18
18,35.98,26.98,17.45,10.51
18.5,36.52,27.36,17.78,10.75
19,37.16,27.94,18.21,11.06
19.5,37.66,28.32,18.50,11.29
20,41.75,30.71,19.88,12.02
20.5,42.81,31.47,20.33,12.29
21,44.08,32.53,20.95,12.72
21.5,44.61,33.02,21.28,12.91
22,45.35,33.64,21.78,13.25
22.5,45.96,34.10,22.16,13.46
23,46.85,34.66,22.61,13.76
23.5,47.40,35.17,23.04,14.06
24,48.39,36.09,23.72,14.51
24.5,49.00,36.58,24.14,14.78
25,49.84,37.27,24.66,15.11
25.5,50.32,37.75,24.99,15.33
26,51.11,38.41,25.48,15.68
26.5,51.64,38.97,25.93,16.02
27,52.46,39.80,26.54,16.53
27.5,53.09,40.33,26.93,16.80
28,53.85,41.05,27.59,17.24
28.5,54.44,41.57,28.02,17.54
29,55.18,42.48,28.79,18.14
29.5,55.62,42.95,29.22,18.49
30,56.32,43.54,29.84,18.93
30.5,56.78,43.94,30.21,19.24
31,57.69,44.70,30.85,19.80
31.5,58.05,45.15,31.22,20.12
32,58.62,45.84,31.71,20.60
32.5,59.10,46.39,32.14,20.97
33,59.60,46.95,32.67,21.43
33.5,60.14,47.47,33.10,21.79
34,60.75,48.07,33.69,22.29
34.5,61.32,48.62,34.14,22.73
35,62.02,49.35,34.88,23.42
35.5,62.31,49.63,35.16,23.67
36,62.93,50.42,35.91,24.31
36.5,63.32,50.81,36.23,24.60
37,64.17,51.63,37.07,25.31
37.5,64.43,51.93,37.40,25.60
38,65.18,52.75,38.15,26.36
38.5,65.44,53.03,38.43,26.71
39,65.98,53.67,39.10,27.35
39.5,66.20,53.94,39.33,27.58
40,66.73,54.49,39.83,28.09
40.5,67.17,54.91,40.23,28.48
41,67.71,55.53,40.81,29.04
41.5,67.95,55.78,41.08,29.31
42,68.43,56.43,41.75,29.93
42.5,68.82,56.83,42.16,30.31
43,69.44,57.43,42.75,30.92
43.5,69.75,57.79,43.14,31.32
44,70.37,58.42,43.76,32.02
44.5,70.74,58.91,44.32,32.57
45,71.24,59.39,44.81,33.06
45.5,71.48,59.88,45.35,33.61
46,72.07,60.40,45.90,34.20
46.5,72.31,60.71,46.25,34.61
47,73.00,61.40,47.00,35.40
47.5,73.25,61.75,47.31,35.78
48,73.95,62.38,48.09,36.62
48.5,74.17,62.73,48.46,37.05
49,74.49,63.16,48.93,37.52
49.5,74.73,63.64,49.45,38.01
50,75.19,64.22,50.08,38.69
50.5,75.40,64.46,50.36,39.04
51,75.86,65.00,50.97,39.61
51.5,76.18,65.38,51.38,40.08
52,76.58,65.86,51.95,40.68
52.5,77.01,66.20,52.33,41.15
53,77.39,66.71,52.89,41.76
53.5,77.83,67.16,53.39,42.29
54,78.38,67.71,54.02,42.92
54.5,78.57,67.98,54.31,43.27
55,79.06,68.60,54.95,44.04
55.5,79.41,68.91,55.32,44.46
56,79.91,69.41,55.94,45.10
56.5,80.29,69.69,56.34,45.51
57,80.64,70.22,56.95,46.24
57.5,80.88,70.53,57.30,46.67
58,81.26,70.98,57.93,47.32
58.5,81.61,71.34,58.33,47.79
59,82.01,71.83,58.89,48.49
59.5,82.34,72.17,59.33,48.95
60,82.83,72.73,60.00,49.71
60.5,83.04,73.00,60.31,50.02
61,83.46,73.41,60.78,50.57
61.5,83.75,73.82,61.27,51.09
62,84.07,74.19,61.74,51.66
62.5,84.37,74.61,62.27,52.22
63,84.69,75.00,62.78,52.84
63.5,85.03,75.59,63.40,53.65
64,85.41,76.12,64.05,54.46
64.5,85.57,76.33,64.35,54.81
65,86.02,76.83,64.97,55.57
65.5,86.36,77.19,65.34,56.02
66,86.67,77.66,65.95,56.77
66.5,86.97,78.08,66.47,57.30
67,87.13,78.35,66.82,57.70
67.5,87.69,78.96,67.65,58.57
68,87.87,79.16,67.89,58.86
68.5,88.05,79.37,68.20,59.26
69,88.44,79.95,68.99,60.16
69.5,88.73,80.19,69.36,60.73
70,88.94,80.56,69.77,61.21
70.5,89.24,80.87,70.20,61.68
71,89.42,81.10,70.53,62.06
71.5,89.61,81.35,70.84,62.50
72,90.03,81.88,71.53,63.42
73,90.50,82.43,72.34,64.42
73.5,90.68,82.69,72.70,64.82
74,90.85,82.97,73.10,65.31
74.5,91.30,83.64,73.94,66.32
75,91.89,84.37,74.84,67.21
75.5,92.11,84.65,75.27,67.71
76,92.28,84.87,75.65,68.19
76.5,92.49,85.17,76.11,68.83
77,93.15,85.92,77.10,70.06
78,93.62,86.59,77.99,71.23
78.5,93.75,86.81,78.37,71.67
79,93.95,87.19,78.95,72.35
79.5,94.09,87.42,79.35,72.77
80,94.30,87.72,79.84,73.38
80.5,94.48,88.16,80.43,74.11
81,94.76,88.70,81.33,75.19
81.5,94.93,88.93,81.76,75.67
82,95.10,89.16,82.15,76.14
82.5,95.28,89.45,82.59,76.66
83,95.40,89.74,83.05,77.20
83.5,95.54,90.12,83.69,77.96
84,95.77,90.54,84.40,78.85
84.5,95.89,90.79,84.79,79.32
85,96.02,91.06,85.17,79.80
85.5,96.25,91.60,85.95,80.88
86,96.30,91.85,86.40,81.47
86.5,96.47,92.17,86.94,82.24
87,96.50,92.35,87.27,82.71
87.5,96.67,92.72,87.89,83.63
88,96.75,92.88,88.19,84.09
88.5,96.89,93.25,88.82,84.98
89,96.99,93.42,89.16,85.51
89.5,97.13,93.83,89.90,86.49
90,97.23,94.03,90.29,87.03
90.5,97.29,94.23,90.63,87.59
91,97.34,94.37,90.85,87.93
91.5,97.41,94.59,91.23,88.42
92,97.52,94.91,91.75,89.22
93,97.73,95.36,92.53,90.27
93.5,98.06,95.80,93.24,91.07
94,98.28,96.20,93.83,91.77
94.5,98.62,96.91,94.84,92.87
95,98.79,97.36,95.56,93.82
95.5,98.91,97.51,95.83,94.24
96,99.15,98.00,96.60,95.35
96.5,99.19,98.11,96.83,95.60
97,99.41,98.39,97.37,96.34
97.5,99.63,98.94,98.15,97.29
98,99.84,99.51,99.13,98.76
98.5,99.97,99.86,99.71,99.51
99,99.99,99.97,99.94,99.87
99.5,100.00,100.00,99.99,99.96
100,100.00,100.00,100.00,100.00
