Score,Non- Hispanic white,Black,Hispanic,Asian
0,0.01,0.03,0.02,0.01
0.5,0.30,0.74,0.49,0.32
1,1.29,3.23,2.15,1.40
1.5,1.59,3.95,2.62,1.72
2,2.00,4.87,3.26,2.09
2.5,2.33,5.68,3.81,2.40
3,2.84,6.90,4.68,2.95
3.5,3.28,7.96,5.35,3.37
4,3.74,9.01,6.11,3.84
4.5,3.89,9.39,6.38,4.02
5,4.61,11.08,7.52,4.76
5.5,5.19,12.43,8.43,5.29
6,5.79,13.69,9.28,5.83
6.5,6.11,14.41,9.80,6.16
7,6.69,15.57,10.68,6.64
7.5,6.95,16.13,11.09,6.92
8,7.44,17.09,11.78,7.35
8.5,7.67,17.52,12.10,7.54
9,7.99,18.22,12.59,7.82
9.5,8.27,18.80,13.03,8.07
10,8.62,19.55,13.52,8.41
10.5,8.88,20.07,13.90,8.65
11,9.31,20.92,14.50,9.12
11.5,9.65,21.60,15.01,9.41
12,10.31,22.78,15.89,10.09
12.5,10.69,23.45,16.37,10.41
13,11.17,24.32,17.01,10.83
13.5,11.54,24.98,17.53,11.22
14,12.19,26.13,18.46,11.85
14.5,12.56,26.77,18.99,12.15
15,13.11,27.65,19.76,12.68
15.5,13.45,28.21,20.27,13.03
16,13.93,29.02,20.98,13.54
16.5,14.29,29.57,21.47,13.94
17,14.71,30.32,22.09,14.37
17.5,15.01,30.88,22.48,14.65
18,15.44,31.52,23.07,15.07
18.5,15.74,32.00,23.44,15.32
19,16.14,32.59,23.94,15.71
19.5,16.41,33.02,24.30,16.00
20,17.63,35.90,26.31,17.19
20.5,18.03,36.76,26.97,17.63
21,18.62,37.82,27.91,18.20
21.5,18.91,38.32,28.34,18.51
22,19.35,39.02,28.95,18.96
22.5,19.67,39.54,29.40,19.28
23,20.07,40.20,29.98,19.64
23.5,20.45,40.75,30.54,20.00
24,21.05,41.68,31.46,20.65
24.5,21.43,42.19,31.93,21.02
25,21.90,42.86,32.60,21.45
25.5,22.20,43.32,33.04,21.72
26,22.66,43.97,33.67,22.13
26.5,23.07,44.50,34.22,22.52
27,23.67,45.21,35.03,23.07
27.5,24.02,45.74,35.54,23.45
28,24.61,46.47,36.24,23.98
28.5,24.99,46.99,36.82,24.38
29,25.70,47.87,37.75,25.13
29.5,26.11,48.32,38.22,25.53
30,26.64,48.99,38.91,26.10
30.5,27.00,49.40,39.31,26.44
31,27.61,50.15,40.10,27.07
31.5,27.97,50.54,40.54,27.43
32,28.47,51.14,41.18,27.95
32.5,28.88,51.61,41.75,28.39
33,29.39,52.13,42.32,28.85
33.5,29.80,52.64,42.87,29.30
34,30.34,53.23,43.57,29.85
34.5,30.80,53.71,44.13,30.31
35,31.51,54.48,44.91,31.03
35.5,31.77,54.76,45.21,31.33
36,32.48,55.48,46.03,32.11
36.5,32.80,55.82,46.45,32.45
37,33.58,56.58,47.40,33.29
37.5,33.89,56.88,47.72,33.61
38,34.64,57.66,48.55,34.49
38.5,34.93,57.94,48.87,34.81
39,35.58,58.55,49.63,35.60
39.5,35.81,58.79,49.90,35.85
40,36.31,59.28,50.52,36.38
40.5,36.70,59.72,50.92,36.84
41,37.27,60.28,51.59,37.43
41.5,37.54,60.50,51.87,37.71
42,38.19,61.11,52.59,38.32
42.5,38.58,61.49,53.04,38.76
43,39.18,62.09,53.65,39.32
43.5,39.56,62.42,54.06,39.77
44,40.20,63.03,54.80,40.45
44.5,40.75,63.45,55.35,41.05
45,41.22,63.92,55.92,41.57
45.5,41.75,64.35,56.48,42.14
46,42.31,64.85,57.05,42.72
46.5,42.68,65.17,57.38,43.13
47,43.43,65.82,58.15,43.96
47.5,43.77,66.10,58.48,44.34
48,44.56,66.72,59.21,45.13
48.5,44.95,67.06,59.58,45.51
49,45.42,67.46,60.01,45.98
49.5,45.93,67.86,60.49,46.45
50,46.56,68.41,61.13,47.11
50.5,46.86,68.63,61.40,47.43
51,47.46,69.13,61.98,48.12
51.5,47.87,69.47,62.38,48.59
52,48.45,69.89,62.94,49.22
52.5,48.85,70.24,63.36,49.64
53,49.41,70.69,63.94,50.35
53.5,49.92,71.11,64.38,50.93
54,50.54,71.63,65.01,51.65
54.5,50.85,71.85,65.32,52.01
55,51.53,72.36,66.02,52.78
55.5,51.91,72.64,66.38,53.20
56,52.54,73.09,66.94,53.83
56.5,52.92,73.39,67.31,54.29
57,53.56,73.85,67.89,54.99
57.5,53.94,74.09,68.26,55.40
58,54.57,74.49,68.80,56.02
58.5,54.99,74.81,69.18,56.54
59,55.60,75.24,69.68,57.20
59.5,56.04,75.53,70.08,57.61
60,56.74,76.03,70.70,58.37
60.5,57.05,76.25,70.97,58.75
61,57.55,76.60,71.41,59.23
61.5,58.06,76.94,71.85,59.74
62,58.56,77.27,72.26,60.22
62.5,59.09,77.65,72.72,60.77
63,59.63,78.01,73.13,61.36
63.5,60.32,78.46,73.71,62.13
64,61.02,78.93,74.29,62.85
64.5,61.33,79.13,74.53,63.16
65,61.99,79.58,75.09,63.92
65.5,62.40,79.85,75.46,64.32
66,63.06,80.24,75.99,64.93
66.5,63.58,80.60,76.44,65.50
67,63.95,80.82,76.73,65.85
67.5,64.77,81.40,77.45,66.77
68,65.02,81.60,77.66,67.08
68.5,65.36,81.79,77.92,67.42
69,66.18,82.29,78.58,68.26
69.5,66.60,82.53,78.88,68.65
70,67.05,82.81,79.25,69.13
70.5,67.48,83.15,79.60,69.54
71,67.83,83.34,79.85,69.90
71.5,68.17,83.57,80.13,70.25
72,68.94,84.02,80.71,71.04
73,69.80,84.55,81.33,71.89
73.5,70.17,84.81,81.61,72.21
74,70.60,85.09,81.92,72.62
74.5,71.50,85.64,82.64,73.55
75,72.40,86.32,83.33,74.37
75.5,72.85,86.56,83.64,74.76
76,73.27,86.78,83.89,75.13
76.5,73.78,87.04,84.20,75.62
77,74.85,87.66,85.00,76.80
78,75.85,88.21,85.66,77.75
78.5,76.24,88.43,85.91,78.12
79,76.86,88.76,86.28,78.65
79.5,77.26,89.00,86.55,79.00
80,77.78,89.28,86.92,79.48
80.5,78.42,89.65,87.37,80.09
81,79.37,90.13,87.96,80.94
81.5,79.81,90.36,88.22,81.36
82,80.23,90.54,88.46,81.72
82.5,80.70,90.79,88.76,82.12
83,81.19,91.03,89.06,82.56
83.5,81.86,91.38,89.47,83.13
84,82.63,91.74,89.93,83.81
84.5,83.05,91.95,90.18,84.18
85,83.47,92.18,90.43,84.54
85.5,84.35,92.63,90.98,85.32
86,84.84,92.86,91.25,85.78
86.5,85.45,93.13,91.63,86.37
87,85.82,93.29,91.85,86.73
87.5,86.53,93.62,92.27,87.39
88,86.88,93.77,92.46,87.75
88.5,87.59,94.12,92.86,88.36
89,87.98,94.29,93.10,88.70
89.5,88.80,94.67,93.55,89.44
90,89.23,94.87,93.79,89.78
90.5,89.64,95.04,94.03,90.15
91,89.90,95.14,94.16,90.40
91.5,90.32,95.34,94.38,90.78
92,90.93,95.61,94.73,91.39
93,91.79,96.02,95.21,92.16
93.5,92.54,96.39,95.66,92.82
94,93.18,96.73,96.02,93.35
94.5,94.23,97.29,96.66,94.24
95,95.03,97.65,97.13,95.02
95.5,95.35,97.80,97.31,95.32
96,96.22,98.23,97.83,96.19
96.5,96.45,98.34,97.97,96.42
97,97.05,98.62,98.30,96.96
97.5,97.89,99.08,98.82,97.86
98,99.02,99.60,99.44,98.93
98.5,99.66,99.86,99.80,99.56
99,99.92,99.97,99.95,99.88
99.5,99.98,100.00,99.99,99.97
100,100.00,100.00,100.00,100.00
