Score,Male,Female
0,0.01,0.02
0.5,0.34,0.43
1,1.53,1.84
1.5,1.90,2.24
2,2.38,2.76
2.5,2.81,3.19
3,3.46,3.86
3.5,4.03,4.42
4,4.60,5.04
4.5,4.80,5.25
5,5.67,6.19
5.5,6.40,6.93
6,7.15,7.64
6.5,7.56,8.03
7,8.32,8.72
7.5,8.67,9.01
8,9.28,9.57
8.5,9.57,9.82
9,9.99,10.21
9.5,10.35,10.53
10,10.78,10.96
10.5,11.12,11.27
11,11.66,11.75
11.5,12.06,12.18
12,12.81,12.99
12.5,13.28,13.40
13,13.85,13.97
13.5,14.30,14.41
14,15.04,15.21
14.5,15.48,15.64
15,16.13,16.28
15.5,16.56,16.65
16,17.13,17.21
16.5,17.58,17.60
17,18.09,18.08
17.5,18.46,18.41
18,18.96,18.88
18.5,19.32,19.20
19,19.81,19.62
19.5,20.13,19.92
20,21.59,21.25
20.5,22.07,21.64
21,22.69,22.24
21.5,23.05,22.53
22,23.58,22.97
22.5,23.94,23.34
23,24.40,23.79
23.5,24.84,24.20
24,25.54,24.89
24.5,25.96,25.29
25,26.52,25.78
25.5,26.86,26.13
26,27.41,26.60
26.5,27.88,27.03
27,28.55,27.68
27.5,28.95,28.07
28,29.63,28.68
28.5,30.08,29.06
29,30.91,29.77
29.5,31.34,30.18
30,31.93,30.74
30.5,32.32,31.12
31,32.98,31.80
31.5,33.39,32.16
32,33.91,32.69
32.5,34.36,33.13
33,34.92,33.65
33.5,35.36,34.08
34,35.99,34.58
34.5,36.51,35.05
35,37.29,35.77
35.5,37.57,36.03
36,38.35,36.73
36.5,38.71,37.04
37,39.60,37.79
37.5,39.95,38.09
38,40.79,38.83
38.5,41.12,39.11
39,41.81,39.75
39.5,42.04,40.00
40,42.58,40.49
40.5,42.99,40.90
41,43.61,41.45
41.5,43.89,41.72
42,44.54,42.38
42.5,44.92,42.78
43,45.52,43.40
43.5,45.93,43.76
44,46.59,44.40
44.5,47.13,44.94
45,47.63,45.42
45.5,48.16,45.95
46,48.74,46.47
46.5,49.12,46.82
47,49.87,47.55
47.5,50.21,47.87
48,50.97,48.58
48.5,51.35,48.94
49,51.82,49.36
49.5,52.30,49.81
50,52.91,50.37
50.5,53.24,50.62
51,53.78,51.18
51.5,54.20,51.56
52,54.76,52.11
52.5,55.17,52.50
53,55.72,53.04
53.5,56.23,53.51
54,56.85,54.08
54.5,57.16,54.37
55,57.76,55.02
55.5,58.14,55.36
56,58.75,55.86
56.5,59.11,56.21
57,59.71,56.78
57.5,60.06,57.11
58,60.64,57.68
58.5,61.05,58.07
59,61.67,58.60
59.5,62.09,59.00
60,62.71,59.64
60.5,63.00,59.96
61,63.49,60.41
61.5,63.93,60.89
62,64.40,61.36
62.5,64.89,61.88
63,65.38,62.37
63.5,65.93,62.92
64,66.48,63.49
64.5,66.75,63.75
65,67.28,64.28
65.5,67.62,64.60
66,68.16,65.13
66.5,68.48,65.46
67,68.78,65.73
67.5,69.41,66.39
68,69.62,66.61
68.5,69.91,66.88
69,70.57,67.48
69.5,70.96,67.87
70,71.30,68.28
70.5,71.71,68.65
71,72.03,68.95
71.5,72.33,69.22
72,72.99,69.89
73,73.76,70.65
73.5,74.05,71.02
74,74.43,71.40
74.5,75.01,72.15
75,75.63,72.74
75.5,76.05,73.16
76,76.44,73.51
76.5,76.91,74.01
77,77.90,75.01
78,78.79,75.91
78.5,79.14,76.29
79,79.68,76.86
79.5,80.05,77.26
80,80.50,77.78
80.5,81.01,78.35
81,81.89,79.29
81.5,82.30,79.72
82,82.68,80.13
82.5,83.15,80.57
83,83.58,81.05
83.5,84.17,81.66
84,84.88,82.41
84.5,85.31,82.79
85,85.69,83.21
85.5,86.48,84.08
86,86.97,84.52
86.5,87.57,85.09
87,87.92,85.44
87.5,88.57,86.16
88,88.89,86.52
88.5,89.52,87.25
89,89.87,87.64
89.5,90.56,88.51
90,90.94,88.95
90.5,91.31,89.37
91,91.55,89.62
91.5,91.91,90.07
92,92.45,90.70
93,93.23,91.58
93.5,93.87,92.37
94,94.39,93.03
94.5,95.22,94.11
95,95.90,94.92
95.5,96.19,95.23
96,96.88,96.09
96.5,97.07,96.33
97,97.57,96.95
97.5,98.25,97.82
98,99.20,98.99
98.5,99.69,99.65
99,99.92,99.92
99.5,99.98,99.98
100,100.00,100.00
