Score,Low,Moderate,Middle,High
0,43.72,38.65,31.04,27.54
0.5,42.54,37.62,30.24,26.93
1,41.36,36.58,29.44,26.31
1.5,40.18,35.54,28.64,25.70
2,39.00,34.51,27.83,25.08
2.5,37.82,33.47,27.03,24.47
3,36.64,32.43,26.23,23.85
3.5,35.46,31.40,25.42,23.23
4,34.28,30.36,24.62,22.62
4.5,33.10,29.32,23.82,22.00
5,31.92,28.29,23.01,21.39
5.5,30.74,27.25,22.21,20.77
6,29.56,26.21,21.41,20.16
6.5,28.38,25.18,20.60,19.54
7,27.20,24.14,19.80,18.93
7.5,26.02,23.10,19.00,18.31
8,24.84,22.07,18.20,17.70
8.5,23.66,21.03,17.39,17.08
9,22.47,19.99,16.59,16.47
9.5,21.29,18.96,15.79,15.85
10,20.11,17.92,14.98,15.24
10.5,20.05,17.55,14.64,14.77
11,19.98,17.18,14.29,14.31
11.5,19.92,16.80,13.94,13.85
12,19.85,16.43,13.59,13.39
12.5,19.79,16.06,13.24,12.93
13,19.73,15.69,12.90,12.47
13.5,19.66,15.31,12.55,12.01
14,19.60,14.94,12.20,11.55
14.5,19.53,14.57,11.85,11.09
15,19.47,14.20,11.50,10.63
15.5,19.40,13.82,11.16,10.17
16,19.34,13.45,10.81,9.70
16.5,19.27,13.08,10.46,9.24
17,19.21,12.71,10.11,8.78
17.5,19.14,12.33,9.77,8.32
18,19.08,11.96,9.42,7.86
18.5,19.01,11.59,9.07,7.40
19,18.95,11.22,8.72,6.94
19.5,18.88,10.85,8.37,6.48
20,18.82,10.47,8.03,6.02
20.5,18.21,10.27,7.88,5.91
21,17.61,10.06,7.74,5.80
21.5,17.00,9.86,7.60,5.69
22,16.40,9.65,7.45,5.58
22.5,15.80,9.44,7.31,5.47
23,15.19,9.24,7.17,5.36
23.5,14.59,9.03,7.03,5.25
24,13.98,8.83,6.88,5.14
24.5,13.38,8.62,6.74,5.04
25,12.78,8.42,6.60,4.93
25.5,12.17,8.21,6.46,4.82
26,11.57,8.00,6.31,4.71
26.5,10.96,7.80,6.17,4.60
27,10.36,7.59,6.03,4.49
27.5,9.76,7.39,5.89,4.38
28,9.15,7.18,5.74,4.27
28.5,8.55,6.98,5.60,4.16
29,7.94,6.77,5.46,4.05
29.5,7.34,6.56,5.31,3.95
30,6.73,6.36,5.17,3.84
30.5,6.61,6.21,5.06,3.73
31,6.48,6.07,4.94,3.62
31.5,6.36,5.93,4.83,3.51
32,6.23,5.78,4.71,3.41
32.5,6.10,5.64,4.60,3.30
33,5.98,5.49,4.49,3.19
33.5,5.85,5.35,4.37,3.08
34,5.72,5.21,4.26,2.98
34.5,5.60,5.06,4.14,2.87
35,5.47,4.92,4.03,2.76
35.5,5.34,4.78,3.91,2.65
36,5.22,4.63,3.80,2.55
36.5,5.09,4.49,3.68,2.44
37,4.96,4.34,3.57,2.33
37.5,4.84,4.20,3.46,2.22
38,4.71,4.06,3.34,2.12
38.5,4.58,3.91,3.23,2.01
39,4.46,3.77,3.11,1.90
39.5,4.33,3.62,3.00,1.80
40,4.21,3.48,2.88,1.69
40.5,4.18,3.42,2.80,1.65
