Score,Married male,Single male,Married female,Single female
0,29.69,34.20,30.21,36.71
0.5,28.91,33.21,29.46,35.76
1,28.13,32.22,28.70,34.81
1.5,27.35,31.23,27.95,33.87
2,26.57,30.24,27.20,32.92
2.5,25.79,29.26,26.44,31.97
3,25.01,28.27,25.69,31.02
3.5,24.23,27.28,24.93,30.07
4,23.45,26.29,24.18,29.12
4.5,22.67,25.30,23.43,28.17
5,21.90,24.31,22.67,27.22
5.5,21.12,23.33,21.92,26.27
6,20.34,22.34,21.17,25.33
6.5,19.56,21.35,20.41,24.38
7,18.78,20.36,19.66,23.43
7.5,18.00,19.37,18.90,22.48
8,17.22,18.39,18.15,21.53
8.5,16.44,17.40,17.40,20.58
9,15.66,16.41,16.64,19.63
9.5,14.88,15.42,15.89,18.68
10,14.10,14.43,15.14,17.74
10.5,13.70,14.18,14.76,17.24
11,13.29,13.93,14.39,16.74
11.5,12.89,13.68,14.02,16.24
12,12.48,13.43,13.64,15.74
12.5,12.07,13.17,13.27,15.24
13,11.67,12.92,12.90,14.74
13.5,11.26,12.67,12.53,14.25
14,10.86,12.42,12.15,13.75
14.5,10.45,12.17,11.78,13.25
15,10.04,11.92,11.41,12.75
15.5,9.64,11.67,11.04,12.25
16,9.23,11.41,10.66,11.75
16.5,8.82,11.16,10.29,11.26
17,8.42,10.91,9.92,10.76
17.5,8.01,10.66,9.55,10.26
18,7.61,10.41,9.17,9.76
18.5,7.20,10.16,8.80,9.26
19,6.79,9.90,8.43,8.76
19.5,6.39,9.65,8.05,8.27
20,5.98,9.40,7.68,7.77
20.5,5.87,9.29,7.45,7.74
21,5.76,9.17,7.22,7.72
21.5,5.65,9.06,6.99,7.69
22,5.54,8.95,6.76,7.66
22.5,5.43,8.83,6.53,7.64
23,5.32,8.72,6.30,7.61
23.5,5.21,8.61,6.07,7.59
24,5.10,8.49,5.84,7.56
24.5,4.99,8.38,5.61,7.53
25,4.88,8.27,5.38,7.51
25.5,4.77,8.15,5.14,7.48
26,4.66,8.04,4.91,7.46
26.5,4.55,7.93,4.68,7.43
27,4.44,7.81,4.45,7.40
27.5,4.33,7.70,4.22,7.38
28,4.21,7.59,3.99,7.35
28.5,4.10,7.47,3.76,7.33
29,3.99,7.36,3.53,7.30
29.5,3.88,7.25,3.30,7.27
30,3.77,7.13,3.07,7.25
30.5,3.69,6.94,3.01,7.00
31,3.60,6.76,2.96,6.74
31.5,3.51,6.57,2.90,6.49
32,3.42,6.38,2.85,6.24
32.5,3.33,6.20,2.79,5.99
33,3.25,6.01,2.73,5.73
33.5,3.16,5.82,2.68,5.48
34,3.07,5.64,2.62,5.23
34.5,2.98,5.45,2.57,4.98
35,2.89,5.26,2.51,4.73
35.5,2.81,5.08,2.46,4.47
36,2.72,4.89,2.40,4.22
36.5,2.63,4.70,2.35,3.97
37,2.54,4.51,2.29,3.72
37.5,2.45,4.33,2.23,3.47
38,2.37,4.14,2.18,3.21
38.5,2.28,3.95,2.12,2.96
39,2.19,3.77,2.07,2.71
39.5,2.10,3.58,2.01,2.46
40,2.02,3.39,1.96,2.20
40.5,1.95,3.31,1.90,2.19
41,1.88,3.22,1.85,2.18
41.5,1.82,3.13,1.79,2.16
42,1.75,3.05,1.74,2.15
42.5,1.68,2.96,1.68,2.13
43,1.62,2.88,1.63,2.12
43.5,1.55,2.79,1.57,2.10
44,1.48,2.70,1.52,2.09
44.5,1.42,2.62,1.46,2.07
45,1.35,2.53,1.41,2.06
45.5,1.29,2.45,1.35,2.05
46,1.22,2.36,1.30,2.03
46.5,1.15,2.27,1.24,2.02
47,1.09,2.19,1.19,2.00
47.5,1.02,2.10,1.13,1.99
48,0.95,2.02,1.08,1.97
48.5,0.89,1.93,1.02,1.96
49,0.82,1.84,0.97,1.94
49.5,0.75,1.76,0.91,1.93
50,0.69,1.67,0.86,1.91
50.5,0.67,1.60,0.83,1.83
51,0.66,1.52,0.80,1.75
51.5,0.64,1.45,0.77,1.67
52,0.63,1.37,0.74,1.59
52.5,0.61,1.30,0.71,1.51
53,0.60,1.23,0.68,1.43
53.5,0.58,1.15,0.65,1.35
54,0.56,1.08,0.62,1.27
54.5,0.55,1.00,0.59,1.19
55,0.53,0.93,0.56,1.11
55.5,0.52,0.86,0.53,1.03
56,0.50,0.78,0.50,0.95
56.5,0.49,0.71,0.47,0.87
57,0.47,0.63,0.44,0.79
