Score,Non- Hispanic white,Black,Hispanic,Asian
0,31.28,36.69,33.23,41.32
0.5,30.46,35.81,32.32,40.05
1,29.63,34.93,31.40,38.78
1.5,28.81,34.05,30.48,37.51
2,27.99,33.16,29.56,36.24
2.5,27.17,32.28,28.65,34.97
3,26.34,31.40,27.73,33.70
3.5,25.52,30.51,26.81,32.43
4,24.70,29.63,25.90,31.16
4.5,23.88,28.75,24.98,29.89
5,23.05,27.87,24.06,28.62
5.5,22.23,26.98,23.14,27.35
6,21.41,26.10,22.23,26.08
6.5,20.59,25.22,21.31,24.81
7,19.76,24.33,20.39,23.54
7.5,18.94,23.45,19.48,22.27
8,18.12,22.57,18.56,21.00
8.5,17.30,21.69,17.64,19.72
9,16.47,20.80,16.72,18.45
9.5,15.65,19.92,15.81,17.18
10,14.83,19.04,14.89,15.91
10.5,14.44,18.71,14.56,15.39
11,14.04,18.38,14.23,14.88
11.5,13.65,18.05,13.89,14.36
12,13.25,17.72,13.56,13.84
12.5,12.86,17.39,13.23,13.32
13,12.46,17.06,12.90,12.80
13.5,12.07,16.73,12.57,12.28
14,11.67,16.39,12.23,11.76
14.5,11.28,16.06,11.90,11.24
15,10.88,15.73,11.57,10.72
15.5,10.49,15.40,11.24,10.20
16,10.09,15.07,10.91,9.68
16.5,9.70,14.74,10.57,9.16
17,9.30,14.41,10.24,8.65
17.5,8.91,14.08,9.91,8.13
18,8.51,13.75,9.58,7.61
18.5,8.12,13.42,9.25,7.09
19,7.72,13.09,8.91,6.57
19.5,7.33,12.76,8.58,6.05
20,6.93,12.43,8.25,5.53
20.5,6.81,12.27,8.10,5.62
21,6.69,12.12,7.94,5.72
21.5,6.57,11.96,7.79,5.81
22,6.45,11.80,7.64,5.90
22.5,6.33,11.65,7.49,6.00
23,6.21,11.49,7.33,6.09
23.5,6.09,11.33,7.18,6.19
24,5.97,11.18,7.03,6.28
24.5,5.85,11.02,6.88,6.37
25,5.73,10.86,6.72,6.47
25.5,5.61,10.71,6.57,6.56
26,5.49,10.55,6.42,6.65
26.5,5.37,10.39,6.27,6.75
27,5.25,10.24,6.11,6.84
27.5,5.13,10.08,5.96,6.93
28,5.01,9.92,5.81,7.03
28.5,4.89,9.77,5.66,7.12
29,4.77,9.61,5.50,7.21
29.5,4.65,9.45,5.35,7.31
30,4.53,9.30,5.20,7.40
30.5,4.43,9.04,5.08,7.11
31,4.32,8.79,4.95,6.83
31.5,4.21,8.54,4.83,6.54
32,4.11,8.28,4.70,6.25
32.5,4.00,8.03,4.58,5.96
33,3.89,7.78,4.46,5.68
33.5,3.78,7.52,4.33,5.39
34,3.68,7.27,4.21,5.10
34.5,3.57,7.02,4.09,4.81
35,3.46,6.77,3.96,4.53
35.5,3.36,6.51,3.84,4.24
36,3.25,6.26,3.72,3.95
36.5,3.14,6.01,3.59,3.66
37,3.03,5.75,3.47,3.38
37.5,2.93,5.50,3.35,3.09
38,2.82,5.25,3.22,2.80
38.5,2.71,5.00,3.10,2.51
39,2.61,4.74,2.98,2.23
39.5,2.50,4.49,2.85,1.94
40,2.39,4.24,2.73,1.65
40.5,2.32,4.17,2.72,1.64
41,2.25,4.10,2.70,1.62
41.5,2.18,4.03,2.69,1.61
42,2.11,3.96,2.68,1.59
42.5,2.04,3.89,2.66,1.58
43,1.97,3.83,2.65,1.56
43.5,1.90,3.76,2.64,1.55
44,1.83,3.69,2.62,1.54
44.5,1.76,3.62,2.61,1.52
45,1.69,3.55,2.59,1.51
45.5,1.62,3.49,2.58,1.49
46,1.55,3.42,2.57,1.48
46.5,1.49,3.35,2.55,1.46
47,1.42,3.28,2.54,1.45
47.5,1.35,3.21,2.53,1.43
48,1.28,3.14,2.51,1.42
48.5,1.21,3.08,2.50,1.41
49,1.14,3.01,2.49,1.39
49.5,1.07,2.94,2.47,1.38
50,1.00,2.87,2.46,1.36
50.5,0.97,2.83,2.37,1.33
51,0.94,2.79,2.29,1.29
51.5,0.91,2.74,2.20,1.25
52,0.88,2.70,2.11,1.21
52.5,0.86,2.66,2.03,1.18
53,0.83,2.62,1.94,1.14
53.5,0.80,2.57,1.86,1.10
54,0.77,2.53,1.77,1.07
54.5,0.74,2.49,1.69,1.03
55,0.71,2.45,1.60,0.99
55.5,0.69,2.40,1.51,0.96
56,0.66,2.36,1.43,0.92
56.5,0.63,2.32,1.34,0.88
57,0.60,2.28,1.26,0.85
57.5,0.57,2.23,1.17,0.81
58,0.54,2.19,1.08,0.77
