Score,Non- Hispanic white,Black,Hispanic,Asian
0,32.00,37.68,34.18,42.14
0.5,31.15,36.73,33.28,40.95
1,30.31,35.77,32.38,39.76
1.5,29.46,34.82,31.48,38.56
2,28.62,33.87,30.57,37.37
2.5,27.77,32.91,29.67,36.18
3,26.93,31.96,28.77,34.98
3.5,26.08,31.01,27.87,33.79
4,25.24,30.05,26.97,32.60
4.5,24.39,29.10,26.06,31.40
5,23.55,28.15,25.16,30.21
5.5,22.70,27.19,24.26,29.02
6,21.86,26.24,23.36,27.82
6.5,21.01,25.28,22.45,26.63
7,20.17,24.33,21.55,25.44
7.5,19.32,23.38,20.65,24.24
8,18.48,22.42,19.75,23.05
8.5,17.64,21.47,18.85,21.85
9,16.79,20.52,17.94,20.66
9.5,15.95,19.56,17.04,19.47
10,15.10,18.61,16.14,18.27
10.5,14.75,18.25,15.77,17.75
11,14.39,17.89,15.41,17.22
11.5,14.03,17.54,15.04,16.69
12,13.68,17.18,14.67,16.16
12.5,13.32,16.82,14.30,15.63
13,12.97,16.47,13.93,15.10
13.5,12.61,16.11,13.57,14.57
14,12.25,15.75,13.20,14.04
14.5,11.90,15.39,12.83,13.52
15,11.54,15.04,12.46,12.99
15.5,11.19,14.68,12.10,12.46
16,10.83,14.32,11.73,11.93
16.5,10.48,13.97,11.36,11.40
17,10.12,13.61,10.99,10.87
17.5,9.76,13.25,10.62,10.34
18,9.41,12.89,10.26,9.81
18.5,9.05,12.54,9.89,9.29
19,8.70,12.18,9.52,8.76
19.5,8.34,11.82,9.15,8.23
20,7.99,11.47,8.79,7.70
20.5,7.82,11.31,8.63,7.58
21,7.65,11.15,8.48,7.47
21.5,7.48,10.99,8.32,7.36
22,7.31,10.84,8.16,7.24
22.5,7.14,10.68,8.01,7.13
23,6.97,10.52,7.85,7.01
23.5,6.80,10.36,7.70,6.90
24,6.63,10.21,7.54,6.79
24.5,6.46,10.05,7.39,6.67
25,6.29,9.89,7.23,6.56
25.5,6.12,9.73,7.08,6.44
26,5.95,9.58,6.92,6.33
26.5,5.78,9.42,6.77,6.22
27,5.61,9.26,6.61,6.10
27.5,5.44,9.10,6.46,5.99
28,5.27,8.94,6.30,5.87
28.5,5.10,8.79,6.15,5.76
29,4.93,8.63,5.99,5.65
29.5,4.76,8.47,5.84,5.53
30,4.59,8.31,5.68,5.42
30.5,4.49,8.04,5.55,5.34
31,4.38,7.76,5.41,5.27
31.5,4.28,7.48,5.28,5.19
32,4.18,7.21,5.14,5.12
32.5,4.08,6.93,5.01,5.04
33,3.97,6.65,4.88,4.97
33.5,3.87,6.38,4.74,4.89
34,3.77,6.10,4.61,4.81
34.5,3.66,5.82,4.47,4.74
35,3.56,5.55,4.34,4.66
35.5,3.46,5.27,4.20,4.59
36,3.36,4.99,4.07,4.51
36.5,3.25,4.71,3.93,4.44
37,3.15,4.44,3.80,4.36
37.5,3.05,4.16,3.66,4.29
38,2.94,3.88,3.53,4.21
38.5,2.84,3.61,3.40,4.14
39,2.74,3.33,3.26,4.06
39.5,2.64,3.05,3.13,3.99
40,2.53,2.78,2.99,3.91
40.5,2.46,2.78,2.94,3.75
41,2.39,2.78,2.88,3.59
41.5,2.32,2.78,2.83,3.43
42,2.25,2.79,2.77,3.27
