Score,Male,Female
0,32.77,34.40
0.5,31.87,33.53
1,30.96,32.67
1.5,30.06,31.80
2,29.15,30.94
2.5,28.25,30.07
3,27.34,29.20
3.5,26.44,28.34
4,25.53,27.47
4.5,24.63,26.61
5,23.72,25.74
5.5,22.82,24.87
6,21.91,24.01
6.5,21.01,23.14
7,20.10,22.28
7.5,19.20,21.41
8,18.29,20.54
8.5,17.39,19.68
9,16.48,18.81
9.5,15.58,17.95
10,14.67,17.08
10.5,14.38,16.63
11,14.08,16.17
11.5,13.78,15.72
12,13.49,15.26
12.5,13.19,14.81
13,12.89,14.36
13.5,12.60,13.90
14,12.30,13.45
14.5,12.00,12.99
15,11.70,12.54
15.5,11.41,12.09
16,11.11,11.63
16.5,10.81,11.18
17,10.52,10.72
17.5,10.22,10.27
18,9.92,9.82
18.5,9.63,9.36
19,9.33,8.91
19.5,9.03,8.45
20,8.73,8.00
20.5,8.56,7.85
21,8.39,7.71
21.5,8.22,7.56
22,8.05,7.42
22.5,7.87,7.27
23,7.70,7.13
23.5,7.53,6.98
24,7.36,6.84
24.5,7.19,6.69
25,7.01,6.55
25.5,6.84,6.40
26,6.67,6.26
26.5,6.50,6.11
27,6.33,5.97
27.5,6.15,5.82
28,5.98,5.68
28.5,5.81,5.53
29,5.64,5.39
29.5,5.47,5.24
30,5.29,5.10
30.5,5.17,4.96
31,5.04,4.83
31.5,4.92,4.69
32,4.80,4.56
32.5,4.67,4.42
33,4.55,4.29
33.5,4.42,4.15
34,4.30,4.02
34.5,4.17,3.88
35,4.05,3.75
35.5,3.92,3.61
36,3.80,3.48
36.5,3.68,3.34
37,3.55,3.21
37.5,3.43,3.07
38,3.30,2.94
38.5,3.18,2.81
39,3.05,2.67
39.5,2.93,2.54
40,2.80,2.40
40.5,2.73,2.34
41,2.65,2.28
41.5,2.58,2.22
42,2.50,2.16
42.5,2.42,2.10
43,2.35,2.04
43.5,2.27,1.98
44,2.20,1.92
44.5,2.12,1.86
45,2.04,1.80
45.5,1.97,1.74
46,1.89,1.68
46.5,1.82,1.62
47,1.74,1.56
47.5,1.66,1.51
48,1.59,1.45
48.5,1.51,1.39
49,1.43,1.33
49.5,1.36,1.27
50,1.28,1.21
50.5,1.24,1.17
51,1.20,1.14
51.5,1.16,1.11
52,1.12,1.07
52.5,1.08,1.04
53,1.04,1.01
53.5,1.00,0.98
54,0.96,0.94
54.5,0.92,0.91
55,0.88,0.88
55.5,0.84,0.84
56,0.80,0.81
56.5,0.76,0.78
57,0.71,0.74
57.5,0.67,0.71
58,0.63,0.68
58.5,0.59,0.65
59,0.55,0.61
59.5,0.51,0.58
60,0.47,0.55
60.5,0.47,0.54
61,0.47,0.53
61.5,0.46,0.52
62,0.46,0.51
62.5,0.46,0.50
63,0.46,0.49
63.5,0.45,0.48
64,0.45,0.47
64.5,0.45,0.46
65,0.45,0.45
65.5,0.45,0.44
66,0.44,0.43
66.5,0.44,0.42
67,0.44,0.41
67.5,0.44,0.40
68,0.43,0.39
68.5,0.43,0.38
69,0.43,0.37
69.5,0.43,0.36
70,0.42,0.35
70.5,0.42,0.34
71,0.41,0.34
71.5,0.40,0.33
72,0.40,0.32
73,0.38,0.31
73.5,0.37,0.31
74,0.37,0.30
74.5,0.36,0.29
75,0.35,0.29
75.5,0.34,0.28
76,0.34,0.27
76.5,0.33,0.27
77,0.32,0.26
78,0.31,0.25
78.5,0.30,0.24
79,0.29,0.23
79.5,0.28,0.23
80,0.28,0.22
80.5,0.27,0.22
81,0.26,0.21
81.5,0.25,0.21
82,0.25,0.20
82.5,0.24,0.19
83,0.23,0.19
83.5,0.22,0.18
84,0.22,0.18
84.5,0.21,0.17
85,0.20,0.17
85.5,0.19,0.16
86,0.18,0.16
86.5,0.18,0.15
87,0.17,0.14
87.5,0.16,0.14
88,0.15,0.13
88.5,0.15,0.13
89,0.14,0.12
89.5,0.13,0.12
90,0.12,0.11
90.5,0.13,0.12
91,0.13,0.12
91.5,0.14,0.13
92,0.14,0.13
93,0.15,0.14
93.5,0.16,0.15
94,0.16,0.16
94.5,0.17,0.16
95,0.17,0.17
95.5,0.18,0.17
96,0.19,0.18
96.5,0.19,0.18
97,0.20,0.19
97.5,0.20,0.20
98,0.21,0.20
98.5,0.21,0.21
99,0.22,0.21
99.5,0.22,0.22
100,0.23,0.22
