Score,Younger than 30,30-39,40-49,50-61,62 or older
0,58.99,59.05,57.46,55.79,54.16
0.5,58.10,58.07,56.52,54.86,53.09
1,57.20,57.09,55.58,53.93,52.01
1.5,56.31,56.11,54.64,53.01,50.94
2,55.41,55.13,53.70,52.08,49.87
2.5,54.52,54.15,52.76,51.15,48.79
3,53.62,53.17,51.81,50.22,47.72
3.5,52.73,52.19,50.87,49.29,46.65
4,51.84,51.21,49.93,48.36,45.58
4.5,50.94,50.23,48.99,47.43,44.50
5,50.05,49.25,48.05,46.50,43.43
5.5,49.15,48.27,47.11,45.57,42.36
6,48.26,47.29,46.17,44.64,41.28
6.5,47.37,46.31,45.23,43.71,40.21
7,46.47,45.33,44.29,42.78,39.14
7.5,45.58,44.35,43.35,41.85,38.06
8,44.68,43.37,42.41,40.92,36.99
8.5,43.79,42.39,41.47,39.99,35.92
9,42.89,41.41,40.53,39.06,34.85
9.5,42.00,40.43,39.59,38.13,33.77
10,41.11,39.45,38.65,37.20,32.70
10.5,40.96,39.03,38.11,36.68,32.28
11,40.82,38.60,37.56,36.15,31.85
11.5,40.68,38.17,37.02,35.62,31.43
12,40.54,37.74,36.48,35.09,31.00
12.5,40.39,37.32,35.94,34.56,30.58
13,40.25,36.89,35.40,34.04,30.15
13.5,40.11,36.46,34.86,33.51,29.73
14,39.97,36.03,34.31,32.98,29.31
14.5,39.82,35.61,33.77,32.45,28.88
15,39.68,35.18,33.23,31.92,28.46
15.5,39.54,34.75,32.69,31.40,28.03
16,39.40,34.32,32.15,30.87,27.61
16.5,39.26,33.90,31.61,30.34,27.18
17,39.11,33.47,31.06,29.81,26.76
17.5,38.97,33.04,30.52,29.28,26.34
18,38.83,32.61,29.98,28.75,25.91
18.5,38.69,32.18,29.44,28.23,25.49
19,38.54,31.76,28.90,27.70,25.06
19.5,38.40,31.33,28.36,27.17,24.64
20,38.26,30.90,27.81,26.64,24.21
20.5,37.42,30.36,27.42,26.22,23.73
21,36.58,29.82,27.03,25.81,23.25
21.5,35.74,29.28,26.64,25.39,22.77
22,34.90,28.74,26.25,24.97,22.29
22.5,34.06,28.20,25.86,24.55,21.80
23,33.22,27.66,25.47,24.13,21.32
23.5,32.38,27.12,25.08,23.71,20.84
24,31.54,26.58,24.68,23.30,20.36
24.5,30.70,26.04,24.29,22.88,19.88
25,29.85,25.50,23.90,22.46,19.39
25.5,29.01,24.96,23.51,22.04,18.91
26,28.17,24.42,23.12,21.62,18.43
26.5,27.33,23.88,22.73,21.21,17.95
27,26.49,23.34,22.34,20.79,17.47
27.5,25.65,22.79,21.95,20.37,16.98
28,24.81,22.25,21.55,19.95,16.50
28.5,23.97,21.71,21.16,19.53,16.02
29,23.13,21.17,20.77,19.12,15.54
29.5,22.29,20.63,20.38,18.70,15.06
30,21.45,20.09,19.99,18.28,14.57
30.5,21.20,19.83,19.66,18.06,14.43
31,20.96,19.56,19.33,17.85,14.29
31.5,20.71,19.30,19.00,17.63,14.15
32,20.47,19.03,18.67,17.41,14.01
32.5,20.22,18.77,18.34,17.19,13.87
33,19.98,18.50,18.01,16.98,13.73
33.5,19.73,18.24,17.68,16.76,13.59
34,19.48,17.97,17.35,16.54,13.45
34.5,19.24,17.71,17.02,16.33,13.31
35,18.99,17.44,16.69,16.11,13.17
35.5,18.75,17.18,16.36,15.89,13.03
36,18.50,16.91,16.03,15.68,12.89
36.5,18.26,16.65,15.70,15.46,12.75
37,18.01,16.39,15.37,15.24,12.60
37.5,17.76,16.12,15.04,15.03,12.46
38,17.52,15.86,14.71,14.81,12.32
38.5,17.27,15.59,14.37,14.59,12.18
39,17.03,15.33,14.04,14.37,12.04
39.5,16.78,15.06,13.71,14.16,11.90
40,16.54,14.80,13.38,13.94,11.76
40.5,16.34,14.59,13.28,13.77,11.55
41,16.14,14.38,13.17,13.59,11.34
41.5,15.94,14.17,13.07,13.42,11.13
42,15.73,13.96,12.96,13.24,10.91
42.5,15.53,13.75,12.86,13.06,10.70
43,15.33,13.55,12.75,12.89,10.49
43.5,15.13,13.34,12.65,12.71,10.28
44,14.93,13.13,12.54,12.54,10.07
44.5,14.73,12.92,12.44,12.36,9.86
45,14.53,12.71,12.33,12.19,9.65
45.5,14.33,12.50,12.23,12.01,9.43
46,14.13,12.29,12.12,11.84,9.22
46.5,13.93,12.09,12.02,11.66,9.01
47,13.73,11.88,11.91,11.49,8.80
47.5,13.53,11.67,11.81,11.31,8.59
48,13.33,11.46,11.70,11.14,8.38
48.5,13.13,11.25,11.60,10.96,8.17
49,12.93,11.04,11.49,10.79,7.95
49.5,12.73,10.83,11.39,10.61,7.74
50,12.53,10.63,11.28,10.44,7.53
50.5,12.45,10.62,11.20,10.43,7.52
51,12.36,10.61,11.12,10.42,7.51
51.5,12.27,10.60,11.04,10.42,7.51
52,12.19,10.59,10.96,10.41,7.50
52.5,12.10,10.58,10.88,10.40,7.49
53,12.02,10.57,10.80,10.40,7.48
53.5,11.93,10.56,10.72,10.39,7.47
54,11.85,10.55,10.64,10.38,7.46
54.5,11.76,10.54,10.56,10.37,7.46
55,11.68,10.53,10.48,10.37,7.45
55.5,11.59,10.52,10.40,10.36,7.44
56,11.51,10.51,10.32,10.35,7.43
56.5,11.42,10.50,10.24,10.35,7.42
57,11.34,10.49,10.16,10.34,7.41
57.5,11.25,10.48,10.08,10.33,7.41
58,11.17,10.47,10.00,10.33,7.40
58.5,11.08,10.46,9.92,10.32,7.39
59,11.00,10.45,9.84,10.31,7.38
59.5,10.91,10.44,9.76,10.31,7.37
60,10.83,10.43,9.68,10.30,7.36
60.5,10.79,10.38,9.65,10.14,7.25
61,10.74,10.33,9.63,9.99,7.14
61.5,10.70,10.28,9.60,9.84,7.02
62,10.66,10.23,9.57,9.68,6.91
62.5,10.62,10.18,9.54,9.53,6.80
63,10.57,10.13,9.52,9.37,6.68
63.5,10.53,10.08,9.49,9.22,6.57
64,10.49,10.03,9.46,9.06,6.45
64.5,10.45,9.98,9.44,8.91,6.34
65,10.41,9.94,9.41,8.76,6.23
65.5,10.36,9.89,9.38,8.60,6.11
66,10.32,9.84,9.35,8.45,6.00
66.5,10.28,9.79,9.33,8.29,5.88
67,10.24,9.74,9.30,8.14,5.77
67.5,10.19,9.69,9.27,7.98,5.66
68,10.15,9.64,9.25,7.83,5.54
68.5,10.11,9.59,9.22,7.68,5.43
69,10.07,9.54,9.19,7.52,5.31
69.5,10.03,9.49,9.16,7.37,5.20
70,9.98,9.44,9.14,7.21,5.09
70.5,10.01,9.39,9.10,7.24,5.04
71,10.05,9.35,9.05,7.27,5.00
71.5,10.08,9.30,9.01,7.30,4.96
72,10.11,9.25,8.97,7.33,4.92
73,10.17,9.16,8.89,7.39,4.83
73.5,10.20,9.11,8.85,7.42,4.79
74,10.23,9.06,8.80,7.45,4.75
74.5,10.27,9.02,8.76,7.48,4.70
75,10.30,8.97,8.72,7.51,4.66
75.5,10.33,8.92,8.68,7.54,4.62
76,10.36,8.88,8.64,7.57,4.58
76.5,10.39,8.83,8.59,7.60,4.53
77,10.42,8.78,8.55,7.63,4.49
78,10.49,8.69,8.47,7.69,4.41
78.5,10.52,8.64,8.43,7.72,4.37
79,10.55,8.60,8.39,7.75,4.32
79.5,10.58,8.55,8.34,7.78,4.28
80,10.61,8.50,8.30,7.81,4.24
80.5,10.57,8.49,8.27,7.74,4.26
81,10.53,8.48,8.25,7.68,4.29
81.5,10.49,8.47,8.22,7.62,4.32
82,10.45,8.46,8.19,7.55,4.34
82.5,10.40,8.44,8.16,7.49,4.37
83,10.36,8.43,8.13,7.42,4.39
83.5,10.32,8.42,8.11,7.36,4.42
84,10.28,8.41,8.08,7.29,4.45
84.5,10.24,8.40,8.05,7.23,4.47
85,10.20,8.39,8.02,7.17,4.50
85.5,10.16,8.38,7.99,7.10,4.52
86,10.12,8.37,7.96,7.04,4.55
86.5,10.08,8.35,7.94,6.97,4.58
87,10.03,8.34,7.91,6.91,4.60
87.5,9.99,8.33,7.88,6.84,4.63
88,9.95,8.32,7.85,6.78,4.65
88.5,9.91,8.31,7.82,6.72,4.68
89,9.87,8.30,7.80,6.65,4.71
89.5,9.83,8.29,7.77,6.59,4.73
90,9.79,8.27,7.74,6.52,4.76
90.5,10.13,8.16,7.64,6.49,4.69
91,10.48,8.06,7.55,6.45,4.62
91.5,10.83,7.95,7.45,6.42,4.56
92,11.18,7.84,7.36,6.38,4.49
93,11.87,7.62,7.16,6.31,4.35
93.5,12.22,7.51,7.07,6.28,4.29
94,12.57,7.40,6.97,6.24,4.22
94.5,12.91,7.29,6.88,6.21,4.15
95,13.26,7.18,6.78,6.17,4.08
95.5,13.61,7.07,6.68,6.14,4.02
96,13.96,6.97,6.59,6.10,3.95
96.5,14.30,6.86,6.49,6.07,3.88
97,14.65,6.75,6.40,6.03,3.81
97.5,15.00,6.64,6.30,6.00,3.75
98,15.35,6.53,6.20,5.96,3.68
98.5,15.69,6.42,6.11,5.92,3.61
99,16.04,6.31,6.01,5.89,3.54
99.5,16.39,6.20,5.92,5.85,3.48
100,16.74,6.09,5.82,5.82,3.41
