Score,Low,Moderate,Middle,High
0,59.80,56.52,57.09,59.50
0.5,59.00,55.64,56.13,58.44
1,58.21,54.77,55.17,57.38
1.5,57.41,53.89,54.20,56.32
2,56.61,53.02,53.24,55.26
2.5,55.81,52.14,52.27,54.20
3,55.01,51.27,51.31,53.13
3.5,54.21,50.40,50.35,52.07
4,53.41,49.52,49.38,51.01
4.5,52.62,48.65,48.42,49.95
5,51.82,47.77,47.46,48.89
5.5,51.02,46.90,46.49,47.83
6,50.22,46.02,45.53,46.77
6.5,49.42,45.15,44.56,45.70
7,48.62,44.27,43.60,44.64
7.5,47.82,43.40,42.64,43.58
8,47.02,42.53,41.67,42.52
8.5,46.23,41.65,40.71,41.46
9,45.43,40.78,39.75,40.40
9.5,44.63,39.90,38.78,39.34
10,43.83,39.03,37.82,38.27
10.5,43.28,38.56,37.36,37.82
11,42.73,38.09,36.90,37.36
11.5,42.17,37.62,36.44,36.91
12,41.62,37.15,35.98,36.45
12.5,41.07,36.68,35.52,36.00
13,40.52,36.21,35.06,35.54
13.5,39.96,35.74,34.59,35.08
14,39.41,35.27,34.13,34.63
14.5,38.86,34.80,33.67,34.17
15,38.31,34.33,33.21,33.72
15.5,37.76,33.85,32.75,33.26
16,37.20,33.38,32.29,32.81
16.5,36.65,32.91,31.83,32.35
17,36.10,32.44,31.37,31.89
17.5,35.55,31.97,30.91,31.44
18,34.99,31.50,30.45,30.98
18.5,34.44,31.03,29.99,30.53
19,33.89,30.56,29.53,30.07
19.5,33.34,30.09,29.07,29.62
20,32.79,29.62,28.61,29.16
20.5,32.15,29.11,28.10,28.66
21,31.52,28.60,27.60,28.16
21.5,30.89,28.08,27.09,27.66
22,30.26,27.57,26.58,27.16
22.5,29.62,27.06,26.08,26.66
23,28.99,26.54,25.57,26.17
23.5,28.36,26.03,25.06,25.67
24,27.73,25.52,24.56,25.17
24.5,27.09,25.01,24.05,24.67
25,26.46,24.49,23.54,24.17
25.5,25.83,23.98,23.04,23.67
26,25.20,23.47,22.53,23.17
26.5,24.57,22.95,22.02,22.67
27,23.93,22.44,21.52,22.17
27.5,23.30,21.93,21.01,21.67
28,22.67,21.41,20.50,21.18
28.5,22.04,20.90,20.00,20.68
29,21.40,20.39,19.49,20.18
29.5,20.77,19.88,18.98,19.68
30,20.14,19.36,18.48,19.18
30.5,19.88,19.15,18.24,18.92
31,19.61,18.94,18.00,18.66
31.5,19.35,18.73,17.76,18.40
32,19.09,18.52,17.52,18.14
32.5,18.82,18.31,17.29,17.88
33,18.56,18.09,17.05,17.62
33.5,18.30,17.88,16.81,17.36
34,18.03,17.67,16.57,17.10
34.5,17.77,17.46,16.33,16.84
35,17.51,17.25,16.09,16.58
35.5,17.24,17.04,15.86,16.32
36,16.98,16.83,15.62,16.06
36.5,16.72,16.61,15.38,15.80
37,16.46,16.40,15.14,15.53
37.5,16.19,16.19,14.90,15.27
38,15.93,15.98,14.66,15.01
38.5,15.67,15.77,14.43,14.75
39,15.40,15.56,14.19,14.49
39.5,15.14,15.35,13.95,14.23
40,14.88,15.13,13.71,13.97
40.5,14.81,14.91,13.52,13.79
41,14.73,14.68,13.33,13.61
41.5,14.66,14.46,13.13,13.42
42,14.59,14.23,12.94,13.24
42.5,14.52,14.01,12.75,13.05
43,14.45,13.78,12.55,12.87
43.5,14.38,13.56,12.36,12.69
44,14.31,13.33,12.17,12.50
44.5,14.24,13.11,11.97,12.32
45,14.17,12.89,11.78,12.13
45.5,14.10,12.66,11.59,11.95
46,14.03,12.44,11.39,11.77
46.5,13.95,12.21,11.20,11.58
47,13.88,11.99,11.01,11.40
47.5,13.81,11.76,10.81,11.21
48,13.74,11.54,10.62,11.03
48.5,13.67,11.31,10.43,10.85
49,13.60,11.09,10.23,10.66
49.5,13.53,10.86,10.04,10.48
50,13.46,10.64,9.85,10.30
50.5,13.34,10.59,9.82,10.23
51,13.23,10.54,9.80,10.17
51.5,13.12,10.49,9.78,10.10
52,13.00,10.45,9.75,10.04
52.5,12.89,10.40,9.73,9.97
53,12.77,10.35,9.70,9.91
53.5,12.66,10.30,9.68,9.84
54,12.54,10.26,9.66,9.78
54.5,12.43,10.21,9.63,9.71
55,12.31,10.16,9.61,9.65
55.5,12.20,10.11,9.59,9.58
56,12.09,10.07,9.56,9.52
56.5,11.97,10.02,9.54,9.45
57,11.86,9.97,9.51,9.39
57.5,11.74,9.92,9.49,9.32
58,11.63,9.88,9.47,9.26
58.5,11.51,9.83,9.44,9.19
59,11.40,9.78,9.42,9.12
59.5,11.29,9.73,9.39,9.06
60,11.17,9.69,9.37,8.99
60.5,10.85,9.51,9.23,8.89
61,10.52,9.33,9.08,8.79
61.5,10.20,9.15,8.94,8.69
62,9.88,8.97,8.80,8.58
62.5,9.55,8.79,8.66,8.48
63,9.23,8.61,8.51,8.38
63.5,8.91,8.43,8.37,8.28
64,8.58,8.25,8.23,8.17
64.5,8.26,8.07,8.08,8.07
65,7.94,7.89,7.94,7.97
65.5,7.61,7.71,7.80,7.87
66,7.29,7.53,7.65,7.76
66.5,6.96,7.35,7.51,7.66
67,6.64,7.17,7.37,7.56
67.5,6.32,6.99,7.22,7.46
68,5.99,6.81,7.08,7.35
68.5,5.67,6.63,6.94,7.25
69,5.35,6.45,6.80,7.15
69.5,5.02,6.27,6.65,7.05
70,4.70,6.10,6.51,6.94
70.5,4.67,6.13,6.50,6.95
71,4.64,6.17,6.48,6.96
71.5,4.60,6.20,6.47,6.97
72,4.57,6.24,6.46,6.98
73,4.51,6.31,6.43,6.99
73.5,4.48,6.34,6.42,7.00
74,4.44,6.38,6.41,7.01
74.5,4.41,6.41,6.40,7.02
75,4.38,6.44,6.38,7.03
75.5,4.35,6.48,6.37,7.03
76,4.32,6.51,6.36,7.04
76.5,4.28,6.55,6.34,7.05
77,4.25,6.58,6.33,7.06
78,4.19,6.65,6.31,7.08
78.5,4.16,6.69,6.29,7.08
79,4.12,6.72,6.28,7.09
79.5,4.09,6.76,6.27,7.10
80,4.06,6.79,6.26,7.11
80.5,4.58,6.76,6.25,7.06
81,5.09,6.73,6.24,7.02
81.5,5.61,6.70,6.23,6.97
82,6.12,6.67,6.22,6.93
82.5,6.64,6.64,6.21,6.89
83,7.16,6.61,6.20,6.84
83.5,7.67,6.58,6.20,6.80
84,8.19,6.55,6.19,6.75
84.5,8.71,6.52,6.18,6.71
85,9.22,6.49,6.17,6.66
85.5,9.74,6.46,6.16,6.62
86,10.25,6.43,6.15,6.57
86.5,10.77,6.40,6.14,6.53
87,11.29,6.36,6.14,6.48
87.5,11.80,6.33,6.13,6.44
88,12.32,6.30,6.12,6.39
88.5,12.84,6.27,6.11,6.35
89,13.35,6.24,6.10,6.30
89.5,13.87,6.21,6.09,6.26
90,14.38,6.18,6.08,6.22
90.5,13.54,6.05,5.97,6.15
91,12.70,5.92,5.85,6.09
91.5,11.86,5.79,5.74,6.03
92,11.02,5.66,5.62,5.97
93,9.34,5.39,5.39,5.85
93.5,8.50,5.26,5.27,5.79
94,7.66,5.13,5.16,5.72
94.5,6.82,5.00,5.04,5.66
95,5.98,4.87,4.93,5.60
95.5,5.14,4.74,4.81,5.54
96,4.30,4.61,4.70,5.48
96.5,3.46,4.48,4.58,5.42
97,2.62,4.35,4.46,5.36
97.5,1.78,4.21,4.35,5.30
98,0.94,4.08,4.23,5.23
98.5,0.10,3.95,4.12,5.17
99,0.00,3.82,4.00,5.11
99.5,0.00,3.69,3.89,5.05
100,0.00,3.56,3.77,4.99
