Score,Married male,Single male,Married female,Single female
0,56.32,61.12,56.72,58.44
0.5,55.46,59.96,55.73,57.53
1,54.60,58.80,54.75,56.61
1.5,53.74,57.65,53.76,55.70
2,52.88,56.49,52.78,54.78
2.5,52.02,55.34,51.80,53.87
3,51.16,54.18,50.81,52.96
3.5,50.30,53.02,49.83,52.04
4,49.44,51.87,48.84,51.13
4.5,48.58,50.71,47.86,50.22
5,47.72,49.56,46.88,49.30
5.5,46.86,48.40,45.89,48.39
6,46.00,47.24,44.91,47.47
6.5,45.14,46.09,43.92,46.56
7,44.28,44.93,42.94,45.65
7.5,43.42,43.77,41.95,44.73
8,42.56,42.62,40.97,43.82
8.5,41.70,41.46,39.99,42.91
9,40.84,40.31,39.00,41.99
9.5,39.98,39.15,38.02,41.08
10,39.12,37.99,37.03,40.16
10.5,38.58,37.70,36.65,39.67
11,38.04,37.41,36.26,39.17
11.5,37.50,37.12,35.88,38.67
12,36.97,36.82,35.49,38.18
12.5,36.43,36.53,35.11,37.68
13,35.89,36.24,34.72,37.18
13.5,35.35,35.95,34.34,36.68
14,34.82,35.65,33.95,36.19
14.5,34.28,35.36,33.57,35.69
15,33.74,35.07,33.18,35.19
15.5,33.21,34.78,32.80,34.69
16,32.67,34.49,32.41,34.20
16.5,32.13,34.19,32.03,33.70
17,31.59,33.90,31.64,33.20
17.5,31.06,33.61,31.26,32.70
18,30.52,33.32,30.87,32.21
18.5,29.98,33.02,30.48,31.71
19,29.44,32.73,30.10,31.21
19.5,28.91,32.44,29.71,30.72
20,28.37,32.15,29.33,30.22
20.5,27.95,31.56,28.70,29.71
21,27.54,30.98,28.07,29.20
21.5,27.12,30.40,27.45,28.69
22,26.70,29.82,26.82,28.19
22.5,26.29,29.24,26.19,27.68
23,25.87,28.66,25.56,27.17
23.5,25.46,28.08,24.93,26.66
24,25.04,27.50,24.31,26.16
24.5,24.62,26.92,23.68,25.65
25,24.21,26.34,23.05,25.14
25.5,23.79,25.76,22.42,24.63
26,23.38,25.18,21.80,24.12
26.5,22.96,24.60,21.17,23.62
27,22.54,24.02,20.54,23.11
27.5,22.13,23.44,19.91,22.60
28,21.71,22.86,19.29,22.09
28.5,21.30,22.27,18.66,21.58
29,20.88,21.69,18.03,21.08
29.5,20.46,21.11,17.40,20.57
30,20.05,20.53,16.77,20.06
30.5,19.77,20.33,16.51,19.76
31,19.50,20.12,16.24,19.47
31.5,19.22,19.91,15.97,19.17
32,18.95,19.71,15.70,18.87
32.5,18.67,19.50,15.44,18.57
33,18.39,19.30,15.17,18.28
33.5,18.12,19.09,14.90,17.98
34,17.84,18.89,14.63,17.68
34.5,17.57,18.68,14.37,17.39
35,17.29,18.47,14.10,17.09
35.5,17.02,18.27,13.83,16.79
36,16.74,18.06,13.56,16.49
36.5,16.47,17.86,13.30,16.20
37,16.19,17.65,13.03,15.90
37.5,15.92,17.44,12.76,15.60
38,15.64,17.24,12.50,15.31
38.5,15.37,17.03,12.23,15.01
39,15.09,16.83,11.96,14.71
39.5,14.82,16.62,11.69,14.41
40,14.54,16.41,11.43,14.12
40.5,14.35,16.17,11.33,13.95
41,14.16,15.93,11.24,13.79
41.5,13.96,15.69,11.14,13.62
42,13.77,15.45,11.05,13.46
42.5,13.58,15.21,10.95,13.29
43,13.39,14.97,10.86,13.13
43.5,13.19,14.72,10.76,12.96
44,13.00,14.48,10.67,12.80
44.5,12.81,14.24,10.57,12.63
45,12.62,14.00,10.48,12.47
45.5,12.42,13.76,10.39,12.30
46,12.23,13.52,10.29,12.14
46.5,12.04,13.28,10.20,11.97
47,11.85,13.04,10.10,11.81
47.5,11.65,12.79,10.01,11.65
48,11.46,12.55,9.91,11.48
48.5,11.27,12.31,9.82,11.32
49,11.08,12.07,9.72,11.15
49.5,10.88,11.83,9.63,10.99
50,10.69,11.59,9.54,10.82
50.5,10.69,11.59,9.47,10.77
51,10.69,11.59,9.40,10.73
51.5,10.69,11.59,9.33,10.68
52,10.69,11.59,9.26,10.63
52.5,10.69,11.59,9.19,10.59
53,10.68,11.59,9.12,10.54
53.5,10.68,11.59,9.05,10.49
54,10.68,11.59,8.98,10.44
54.5,10.68,11.60,8.91,10.40
55,10.68,11.60,8.84,10.35
55.5,10.68,11.60,8.77,10.30
56,10.68,11.60,8.70,10.25
56.5,10.67,11.60,8.63,10.21
57,10.67,11.60,8.56,10.16
57.5,10.67,11.60,8.49,10.11
58,10.67,11.60,8.42,10.07
58.5,10.67,11.60,8.35,10.02
59,10.67,11.60,8.28,9.97
59.5,10.67,11.60,8.21,9.92
60,10.66,11.60,8.14,9.88
60.5,10.54,11.46,8.08,9.77
61,10.42,11.32,8.02,9.66
61.5,10.30,11.17,7.96,9.55
62,10.18,11.03,7.90,9.44
62.5,10.06,10.88,7.83,9.33
63,9.93,10.74,7.77,9.22
63.5,9.81,10.59,7.71,9.11
64,9.69,10.45,7.65,9.01
64.5,9.57,10.31,7.59,8.90
65,9.45,10.16,7.53,8.79
65.5,9.32,10.02,7.47,8.68
66,9.20,9.87,7.41,8.57
66.5,9.08,9.73,7.35,8.46
67,8.96,9.59,7.29,8.35
67.5,8.84,9.44,7.23,8.24
68,8.71,9.30,7.17,8.13
68.5,8.59,9.15,7.11,8.02
69,8.47,9.01,7.05,7.92
69.5,8.35,8.86,6.99,7.81
70,8.23,8.72,6.93,7.70
70.5,8.22,8.74,6.86,7.60
71,8.20,8.75,6.80,7.50
71.5,8.19,8.77,6.74,7.40
72,8.18,8.79,6.67,7.30
73,8.16,8.83,6.55,7.10
73.5,8.14,8.84,6.48,7.00
74,8.13,8.86,6.42,6.90
74.5,8.12,8.88,6.36,6.80
75,8.11,8.90,6.29,6.70
75.5,8.10,8.92,6.23,6.60
76,8.08,8.93,6.17,6.51
76.5,8.07,8.95,6.10,6.41
77,8.06,8.97,6.04,6.31
78,8.04,9.00,5.91,6.11
78.5,8.02,9.02,5.85,6.01
79,8.01,9.04,5.79,5.91
79.5,8.00,9.06,5.73,5.81
80,7.99,9.08,5.66,5.71
80.5,7.89,9.03,5.66,5.71
81,7.78,8.99,5.66,5.71
81.5,7.68,8.95,5.65,5.71
82,7.58,8.91,5.65,5.71
82.5,7.48,8.87,5.65,5.71
83,7.37,8.82,5.64,5.71
83.5,7.27,8.78,5.64,5.71
84,7.17,8.74,5.64,5.71
84.5,7.07,8.70,5.63,5.71
85,6.97,8.66,5.63,5.71
85.5,6.86,8.61,5.63,5.71
86,6.76,8.57,5.62,5.71
86.5,6.66,8.53,5.62,5.71
87,6.56,8.49,5.62,5.71
87.5,6.45,8.45,5.61,5.71
88,6.35,8.40,5.61,5.71
88.5,6.25,8.36,5.61,5.71
89,6.15,8.32,5.60,5.71
89.5,6.05,8.28,5.60,5.71
90,5.94,8.24,5.60,5.71
90.5,5.87,8.02,5.54,5.64
91,5.79,7.79,5.49,5.56
91.5,5.71,7.57,5.44,5.49
92,5.64,7.35,5.39,5.41
93,5.49,6.91,5.29,5.26
93.5,5.41,6.69,5.24,5.19
94,5.33,6.47,5.19,5.11
94.5,5.26,6.25,5.14,5.04
95,5.18,6.02,5.09,4.96
95.5,5.10,5.80,5.04,4.89
96,5.03,5.58,4.98,4.81
96.5,4.95,5.36,4.93,4.74
97,4.87,5.14,4.88,4.66
97.5,4.80,4.92,4.83,4.59
98,4.72,4.70,4.78,4.51
98.5,4.65,4.48,4.73,4.44
99,4.57,4.25,4.68,4.36
99.5,4.49,4.03,4.63,4.29
100,4.42,3.81,4.58,4.21
