Score,Non- Hispanic white,Black,Hispanic,Asian
0,57.65,58.35,59.81,57.89
0.5,56.62,57.48,58.87,57.13
1,55.58,56.60,57.93,56.38
1.5,54.55,55.73,56.99,55.62
2,53.51,54.86,56.05,54.87
2.5,52.48,53.98,55.11,54.11
3,51.44,53.11,54.17,53.36
3.5,50.41,52.24,53.23,52.61
4,49.37,51.36,52.29,51.85
4.5,48.34,50.49,51.35,51.10
5,47.31,49.61,50.41,50.34
5.5,46.27,48.74,49.47,49.59
6,45.24,47.87,48.53,48.83
6.5,44.20,46.99,47.59,48.08
7,43.17,46.12,46.65,47.33
7.5,42.13,45.25,45.71,46.57
8,41.10,44.37,44.77,45.82
8.5,40.06,43.50,43.83,45.06
9,39.03,42.62,42.89,44.31
9.5,38.00,41.75,41.95,43.55
10,36.96,40.88,41.01,42.80
10.5,36.60,40.53,40.54,41.89
11,36.24,40.18,40.07,40.98
11.5,35.88,39.83,39.60,40.07
12,35.51,39.48,39.13,39.15
12.5,35.15,39.13,38.66,38.24
13,34.79,38.78,38.20,37.33
13.5,34.43,38.44,37.73,36.42
14,34.07,38.09,37.26,35.51
14.5,33.70,37.74,36.79,34.60
15,33.34,37.39,36.32,33.69
15.5,32.98,37.04,35.85,32.77
16,32.62,36.69,35.39,31.86
16.5,32.26,36.34,34.92,30.95
17,31.89,35.99,34.45,30.04
17.5,31.53,35.65,33.98,29.13
18,31.17,35.30,33.51,28.22
18.5,30.81,34.95,33.04,27.31
19,30.45,34.60,32.58,26.40
19.5,30.08,34.25,32.11,25.48
20,29.72,33.90,31.64,24.57
20.5,29.15,33.29,31.16,24.37
21,28.58,32.67,30.68,24.16
21.5,28.02,32.06,30.20,23.96
22,27.45,31.45,29.73,23.76
22.5,26.88,30.83,29.25,23.55
23,26.31,30.22,28.77,23.35
23.5,25.74,29.60,28.29,23.15
24,25.17,28.99,27.81,22.94
24.5,24.60,28.38,27.33,22.74
25,24.03,27.76,26.86,22.54
25.5,23.47,27.15,26.38,22.33
26,22.90,26.54,25.90,22.13
26.5,22.33,25.92,25.42,21.92
27,21.76,25.31,24.94,21.72
27.5,21.19,24.69,24.46,21.52
28,20.62,24.08,23.99,21.31
28.5,20.05,23.47,23.51,21.11
29,19.49,22.85,23.03,20.91
29.5,18.92,22.24,22.55,20.70
30,18.35,21.62,22.07,20.50
30.5,18.14,21.28,21.69,20.14
31,17.92,20.93,21.31,19.78
31.5,17.71,20.58,20.93,19.42
32,17.50,20.24,20.55,19.06
32.5,17.28,19.89,20.18,18.69
33,17.07,19.54,19.80,18.33
33.5,16.86,19.19,19.42,17.97
34,16.65,18.85,19.04,17.61
34.5,16.43,18.50,18.66,17.25
35,16.22,18.15,18.28,16.89
35.5,16.01,17.81,17.90,16.53
36,15.80,17.46,17.52,16.17
36.5,15.58,17.11,17.14,15.81
37,15.37,16.76,16.76,15.45
37.5,15.16,16.42,16.38,15.09
38,14.94,16.07,16.00,14.73
38.5,14.73,15.72,15.62,14.37
39,14.52,15.38,15.24,14.01
39.5,14.31,15.03,14.87,13.65
40,14.09,14.68,14.49,13.29
40.5,13.88,14.62,14.35,13.25
41,13.67,14.55,14.21,13.21
41.5,13.46,14.48,14.07,13.17
42,13.24,14.41,13.93,13.13
42.5,13.03,14.35,13.79,13.09
43,12.82,14.28,13.65,13.05
43.5,12.60,14.21,13.51,13.01
44,12.39,14.14,13.37,12.97
44.5,12.18,14.08,13.23,12.93
45,11.97,14.01,13.09,12.89
45.5,11.75,13.94,12.95,12.85
46,11.54,13.88,12.81,12.81
46.5,11.33,13.81,12.67,12.77
47,11.11,13.74,12.53,12.73
47.5,10.90,13.67,12.39,12.69
48,10.69,13.61,12.25,12.65
48.5,10.48,13.54,12.11,12.61
49,10.26,13.47,11.96,12.57
49.5,10.05,13.40,11.82,12.53
50,9.84,13.34,11.68,12.49
50.5,9.82,13.22,11.70,12.38
51,9.80,13.11,11.72,12.28
51.5,9.79,12.99,11.74,12.18
52,9.77,12.88,11.76,12.07
52.5,9.76,12.76,11.77,11.97
53,9.74,12.64,11.79,11.87
53.5,9.72,12.53,11.81,11.76
54,9.71,12.41,11.83,11.66
