Score,Non- Hispanic white,Black,Hispanic,Asian
0,56.89,58.63,58.42,60.42
0.5,55.94,57.73,57.46,59.37
1,54.98,56.84,56.51,58.32
1.5,54.02,55.95,55.56,57.26
2,53.06,55.05,54.60,56.21
2.5,52.11,54.16,53.65,55.16
3,51.15,53.27,52.70,54.11
3.5,50.19,52.38,51.74,53.05
4,49.23,51.48,50.79,52.00
4.5,48.28,50.59,49.84,50.95
5,47.32,49.70,48.88,49.90
5.5,46.36,48.81,47.93,48.84
6,45.40,47.91,46.98,47.79
6.5,44.44,47.02,46.02,46.74
7,43.49,46.13,45.07,45.69
7.5,42.53,45.23,44.11,44.64
8,41.57,44.34,43.16,43.58
8.5,40.61,43.45,42.21,42.53
9,39.66,42.56,41.25,41.48
9.5,38.70,41.66,40.30,40.43
10,37.74,40.77,39.35,39.37
10.5,37.31,40.28,38.81,38.86
11,36.87,39.78,38.26,38.34
11.5,36.43,39.28,37.72,37.82
12,36.00,38.79,37.18,37.30
12.5,35.56,38.29,36.64,36.79
13,35.12,37.80,36.10,36.27
13.5,34.69,37.30,35.56,35.75
14,34.25,36.81,35.02,35.24
14.5,33.81,36.31,34.47,34.72
15,33.38,35.82,33.93,34.20
15.5,32.94,35.32,33.39,33.69
16,32.50,34.83,32.85,33.17
16.5,32.07,34.33,32.31,32.65
17,31.63,33.84,31.77,32.13
17.5,31.19,33.34,31.23,31.62
18,30.76,32.85,30.69,31.10
18.5,30.32,32.35,30.14,30.58
19,29.88,31.86,29.60,30.07
19.5,29.45,31.36,29.06,29.55
20,29.01,30.87,28.52,29.03
20.5,28.50,30.30,28.05,28.52
21,27.99,29.73,27.57,28.01
21.5,27.47,29.16,27.10,27.51
22,26.96,28.59,26.62,27.00
22.5,26.45,28.02,26.15,26.49
23,25.94,27.45,25.68,25.98
23.5,25.43,26.88,25.20,25.47
24,24.92,26.31,24.73,24.96
24.5,24.41,25.74,24.25,24.45
25,23.90,25.17,23.78,23.94
25.5,23.38,24.60,23.30,23.43
26,22.87,24.03,22.83,22.93
26.5,22.36,23.46,22.36,22.42
27,21.85,22.89,21.88,21.91
27.5,21.34,22.32,21.41,21.40
28,20.83,21.75,20.93,20.89
28.5,20.32,21.18,20.46,20.38
29,19.80,20.61,19.99,19.87
29.5,19.29,20.04,19.51,19.36
30,18.78,19.47,19.04,18.85
30.5,18.54,19.26,18.81,18.62
31,18.29,19.04,18.59,18.38
31.5,18.04,18.83,18.37,18.14
32,17.80,18.62,18.15,17.90
32.5,17.55,18.41,17.93,17.67
33,17.31,18.20,17.71,17.43
33.5,17.06,17.99,17.48,17.19
34,16.82,17.78,17.26,16.95
34.5,16.57,17.57,17.04,16.72
35,16.33,17.36,16.82,16.48
35.5,16.08,17.15,16.60,16.24
36,15.83,16.94,16.38,16.00
36.5,15.59,16.73,16.15,15.76
37,15.34,16.52,15.93,15.53
37.5,15.10,16.31,15.71,15.29
38,14.85,16.10,15.49,15.05
38.5,14.61,15.89,15.27,14.81
39,14.36,15.68,15.04,14.58
39.5,14.11,15.46,14.82,14.34
40,13.87,15.25,14.60,14.10
40.5,13.68,15.06,14.38,13.94
41,13.49,14.86,14.16,13.78
41.5,13.29,14.66,13.95,13.61
42,13.10,14.46,13.73,13.45
42.5,12.91,14.26,13.51,13.29
43,12.72,14.07,13.29,13.12
43.5,12.53,13.87,13.07,12.96
44,12.33,13.67,12.85,12.80
44.5,12.14,13.47,12.64,12.64
45,11.95,13.27,12.42,12.47
45.5,11.76,13.08,12.20,12.31
46,11.57,12.88,11.98,12.15
46.5,11.37,12.68,11.76,11.99
47,11.18,12.48,11.54,11.82
47.5,10.99,12.28,11.32,11.66
48,10.80,12.08,11.11,11.50
48.5,10.61,11.89,10.89,11.33
49,10.41,11.69,10.67,11.17
49.5,10.22,11.49,10.45,11.01
50,10.03,11.29,10.23,10.85
50.5,9.99,11.20,10.22,10.75
51,9.96,11.11,10.21,10.66
51.5,9.92,11.02,10.20,10.56
52,9.88,10.94,10.19,10.47
52.5,9.84,10.85,10.17,10.37
53,9.80,10.76,10.16,10.27
53.5,9.77,10.67,10.15,10.18
54,9.73,10.58,10.14,10.08
54.5,9.69,10.49,10.13,9.99
55,9.65,10.40,10.11,9.89
55.5,9.62,10.31,10.10,9.80
56,9.58,10.22,10.09,9.70
56.5,9.54,10.13,10.08,9.61
57,9.50,10.04,10.07,9.51
57.5,9.47,9.95,10.06,9.42
58,9.43,9.86,10.04,9.32
58.5,9.39,9.77,10.03,9.23
59,9.35,9.68,10.02,9.13
59.5,9.31,9.60,10.01,9.04
60,9.28,9.51,10.00,8.94
60.5,9.14,9.31,9.82,8.84
61,9.01,9.11,9.65,8.75
61.5,8.88,8.92,9.47,8.65
62,8.75,8.72,9.29,8.55
62.5,8.61,8.53,9.12,8.45
63,8.48,8.33,8.94,8.36
63.5,8.35,8.13,8.77,8.26
64,8.22,7.94,8.59,8.16
64.5,8.08,7.74,8.42,8.06
65,7.95,7.54,8.24,7.96
65.5,7.82,7.35,8.07,7.87
66,7.69,7.15,7.89,7.77
66.5,7.55,6.96,7.71,7.67
67,7.42,6.76,7.54,7.57
67.5,7.29,6.56,7.36,7.48
68,7.16,6.37,7.19,7.38
68.5,7.02,6.17,7.01,7.28
69,6.89,5.98,6.84,7.18
69.5,6.76,5.78,6.66,7.09
70,6.63,5.58,6.49,6.99
70.5,6.62,5.62,6.49,7.00
71,6.62,5.65,6.49,7.02
71.5,6.62,5.68,6.49,7.03
72,6.62,5.72,6.50,7.05
73,6.61,5.78,6.50,7.08
73.5,6.61,5.81,6.51,7.10
74,6.61,5.85,6.51,7.11
74.5,6.60,5.88,6.51,7.13
75,6.60,5.91,6.52,7.14
75.5,6.60,5.95,6.52,7.16
76,6.60,5.98,6.52,7.17
76.5,6.59,6.01,6.53,7.19
77,6.59,6.05,6.53,7.20
78,6.59,6.11,6.53,7.23
78.5,6.58,6.14,6.54,7.25
79,6.58,6.18,6.54,7.26
79.5,6.58,6.21,6.54,7.28
80,6.58,6.24,6.55,7.29
80.5,6.55,6.28,6.56,7.26
81,6.53,6.32,6.58,7.23
81.5,6.50,6.36,6.60,7.20
82,6.48,6.40,6.61,7.17
82.5,6.45,6.44,6.63,7.14
83,6.43,6.48,6.64,7.11
83.5,6.40,6.52,6.66,7.08
84,6.38,6.56,6.68,7.05
84.5,6.35,6.60,6.69,7.02
85,6.33,6.64,6.71,6.99
85.5,6.30,6.68,6.73,6.96
86,6.28,6.72,6.74,6.93
86.5,6.25,6.76,6.76,6.90
87,6.23,6.80,6.78,6.87
87.5,6.20,6.84,6.79,6.84
88,6.18,6.88,6.81,6.81
88.5,6.15,6.92,6.82,6.78
89,6.13,6.96,6.84,6.76
89.5,6.10,7.00,6.86,6.73
90,6.08,7.04,6.87,6.70
90.5,5.98,6.89,6.70,6.57
91,5.89,6.74,6.53,6.44
91.5,5.80,6.59,6.36,6.31
92,5.71,6.44,6.18,6.18
93,5.52,6.14,5.84,5.92
93.5,5.43,5.99,5.67,5.79
94,5.33,5.84,5.49,5.66
94.5,5.24,5.69,5.32,5.53
95,5.15,5.54,5.15,5.40
95.5,5.06,5.39,4.98,5.27
96,4.96,5.24,4.81,5.14
96.5,4.87,5.09,4.63,5.01
97,4.78,4.94,4.46,4.88
97.5,4.68,4.79,4.29,4.75
98,4.59,4.64,4.12,4.62
98.5,4.50,4.49,3.94,4.49
99,4.41,4.34,3.77,4.36
99.5,4.31,4.19,3.60,4.23
100,4.22,4.04,3.43,4.10
