Score,Low,Moderate,Middle,High
0,,10.00,,
0.5,,10.00,,
1,9.85,,10.59,10.34
1.5,9.77,,10.52,
2,,9.99,10.45,10.18
2.5,,9.99,10.39,10.11
3,,9.99,10.32,10.03
3.5,,9.98,10.26,
4,,9.98,10.19,9.88
4.5,,9.98,10.12,
5,,9.97,10.06,9.72
5.5,,9.97,9.99,9.64
6,9.08,9.97,9.93,9.57
6.5,,9.97,9.86,9.49
7,8.92,9.96,9.79,9.41
7.5,,9.96,9.73,9.34
8,8.77,9.96,9.66,9.26
8.5,,9.96,9.60,9.18
9,,9.95,9.53,9.11
9.5,8.54,9.95,9.46,9.03
10,8.46,9.95,9.40,8.95
10.5,,9.91,9.38,8.93
11,,9.87,9.36,8.90
11.5,,9.83,9.34,8.87
12,8.56,9.79,9.32,8.85
12.5,8.59,9.75,9.30,8.82
13,,9.71,9.28,8.79
13.5,,9.67,9.26,8.77
14,8.66,9.64,9.24,8.74
14.5,8.69,9.60,9.22,8.71
15,8.72,9.56,9.20,8.69
15.5,,9.52,9.18,8.66
16,8.77,9.48,9.16,8.63
16.5,,9.44,9.14,8.61
17,,9.40,9.12,8.58
17.5,8.84,9.36,9.10,8.55
18,8.87,9.32,9.08,8.53
18.5,8.90,9.28,9.06,8.50
19,8.92,9.25,9.04,8.47
19.5,8.95,9.21,9.02,8.45
20,,9.17,9.00,8.42
20.5,8.95,9.14,8.97,8.40
21,,9.12,8.94,8.38
21.5,8.90,9.10,8.91,8.36
22,8.87,9.07,8.88,8.34
22.5,8.85,9.05,8.85,8.32
23,8.82,9.03,8.82,8.30
23.5,8.80,9.00,8.78,8.28
24,8.77,8.98,8.75,8.26
24.5,8.75,8.96,8.72,8.24
25,8.72,8.93,8.69,8.22
25.5,8.70,8.91,8.66,8.20
26,8.67,8.89,8.63,8.18
26.5,8.65,8.86,8.60,8.16
27,8.62,8.84,8.57,8.14
27.5,8.60,8.82,8.54,8.12
28,8.57,8.79,8.51,8.10
28.5,8.55,8.77,8.48,8.08
29,,8.75,8.45,8.06
29.5,8.50,8.72,8.42,8.04
30,8.47,8.70,8.38,8.02
30.5,8.47,8.68,8.37,8.01
31,8.47,8.65,8.36,8.00
31.5,8.46,8.63,8.35,8.00
32,8.46,8.61,8.34,7.99
32.5,,8.58,8.33,7.98
33,8.45,8.56,8.32,7.98
33.5,,8.54,8.31,7.97
34,8.45,8.51,8.30,7.96
34.5,8.44,8.49,8.29,7.95
35,8.44,8.47,8.28,7.95
35.5,8.44,8.44,8.27,7.94
36,8.43,8.42,8.26,7.93
36.5,8.43,8.40,8.25,7.93
37,8.43,8.37,8.24,7.92
37.5,,8.35,8.23,7.91
38,8.42,8.32,8.22,7.91
38.5,,8.30,8.21,7.90
39,8.41,8.28,8.20,7.89
39.5,8.41,8.25,8.19,7.89
40,8.41,8.23,8.18,7.88
40.5,8.38,8.22,8.16,7.85
41,8.35,8.21,8.14,7.83
41.5,8.32,8.21,8.11,7.80
42,8.29,8.20,8.09,7.77
42.5,8.26,8.19,8.07,7.75
43,8.23,8.18,8.05,7.72
43.5,,8.18,8.03,7.69
44,8.17,8.17,8.01,7.66
44.5,8.14,8.16,7.99,7.64
45,8.11,8.15,7.96,7.61
45.5,8.08,8.14,7.94,7.58
46,8.05,8.14,7.92,7.56
46.5,8.02,8.13,7.90,7.53
47,7.99,8.12,7.88,7.50
47.5,,8.11,7.86,7.47
48,7.93,8.10,7.84,7.45
48.5,,8.10,7.81,7.42
49,7.87,8.09,7.79,7.39
49.5,,8.08,7.77,7.37
50,7.81,8.07,7.75,7.34
50.5,7.80,8.05,7.75,7.36
51,7.80,8.02,7.75,7.39
51.5,,8.00,7.74,7.41
52,7.80,7.98,7.74,7.43
52.5,7.80,7.95,7.74,7.46
53,7.80,7.93,7.74,7.48
53.5,7.80,7.91,7.74,7.50
54,7.80,7.88,7.73,7.53
54.5,,7.86,7.73,7.55
55,7.80,7.84,7.73,7.57
55.5,7.80,7.81,7.73,7.60
56,7.80,7.79,7.72,7.62
56.5,,7.76,7.72,7.64
57,,7.74,7.72,7.67
57.5,,7.72,7.72,7.69
58,7.79,7.69,7.72,7.71
58.5,7.79,7.67,7.71,7.74
59,7.79,7.65,7.71,7.76
59.5,7.79,7.62,7.71,7.78
60,7.79,7.60,7.71,7.81
60.5,,7.60,7.70,7.78
61,7.82,7.60,7.69,7.76
61.5,7.84,7.60,7.68,7.74
62,7.85,7.61,7.67,7.71
62.5,7.87,7.61,7.66,7.69
63,7.89,7.61,7.65,7.67
63.5,,7.61,7.64,7.64
64,,7.61,7.63,7.62
64.5,,7.62,7.62,7.60
65,7.95,7.62,7.61,7.57
65.5,7.97,7.62,7.60,7.55
66,7.98,7.62,7.59,7.53
66.5,,7.62,7.58,7.50
67,,7.62,7.57,7.48
67.5,8.03,7.63,7.56,7.46
68,8.05,7.63,7.55,7.43
68.5,8.07,7.63,7.54,7.41
69,,7.63,7.53,7.39
69.5,,7.63,7.52,7.36
70,8.12,7.63,7.51,7.34
70.5,8.06,7.63,7.51,7.34
71,,7.63,7.51,7.34
71.5,,7.63,7.51,7.34
72,7.89,7.63,7.50,7.34
73,7.78,7.63,7.50,7.34
73.5,,7.63,7.50,7.34
74,7.66,7.62,7.49,7.34
74.5,7.61,7.62,7.49,7.34
75,7.55,7.62,7.49,7.34
75.5,7.49,7.62,7.49,7.34
76,,7.62,7.49,7.34
76.5,,7.62,7.48,7.34
77,7.32,7.62,7.48,7.34
78,7.21,7.61,7.48,7.34
78.5,,7.61,7.48,7.34
79,,7.61,7.47,7.34
79.5,7.04,7.61,7.47,7.34
80,6.99,7.61,7.47,7.34
80.5,,7.60,7.47,7.33
81,6.89,7.58,7.48,7.33
81.5,6.85,7.57,7.48,7.32
82,6.80,7.56,7.48,7.32
82.5,,7.54,7.49,7.32
83,,7.53,7.49,7.31
83.5,6.66,7.52,7.49,7.31
84,,7.50,7.50,7.30
84.5,6.57,7.49,7.50,7.30
85,,7.48,7.50,7.30
85.5,6.48,7.46,7.51,7.29
86,,7.45,7.51,7.29
86.5,6.39,7.44,7.51,7.28
87,,7.42,7.52,7.28
87.5,,7.41,7.52,7.28
88,,7.40,7.52,7.27
88.5,6.20,7.38,7.53,7.27
89,6.16,7.37,7.53,7.26
89.5,6.11,7.36,7.53,7.26
90,,7.34,7.54,7.26
90.5,,7.34,7.53,7.29
91,,7.34,7.52,7.32
91.5,,7.34,7.52,7.35
92,6.71,7.33,7.51,7.38
93,,7.33,7.49,7.44
93.5,,7.33,7.48,7.47
94,7.36,7.32,7.48,7.50
94.5,,7.32,7.47,7.53
95,,7.32,7.46,7.56
95.5,,,7.45,7.59
96,,7.32,7.45,7.61
96.5,,7.31,7.44,7.64
97,8.33,7.31,7.43,7.67
97.5,8.49,7.31,7.42,7.70
98,8.65,7.31,7.42,7.73
98.5,,7.30,7.41,7.76
99,,7.30,7.40,7.79
99.5,,,7.39,7.82
100,,,7.39,
