Score,Non- Hispanic white,Black,Hispanic,Asian
0,10.96,9.91,10.37,4.25
0.5,10.89,9.88,10.34,4.55
1,10.81,9.85,10.32,4.85
1.5,10.73,9.82,10.30,5.14
2,10.66,9.79,10.27,5.44
2.5,10.58,9.77,10.25,5.74
3,10.50,9.74,10.23,6.04
3.5,10.43,9.71,10.20,6.33
4,10.35,9.68,10.18,6.63
4.5,10.27,9.65,10.15,6.93
5,10.20,9.62,10.13,7.22
5.5,10.12,9.59,10.11,7.52
6,10.04,9.56,10.08,7.82
6.5,9.97,9.53,10.06,8.12
7,9.89,9.50,10.04,8.41
7.5,9.82,9.47,10.01,8.71
8,9.74,9.45,9.99,9.01
8.5,9.66,9.42,9.96,9.31
9,9.59,9.39,9.94,9.60
9.5,9.51,9.36,9.92,9.90
10,9.43,9.33,9.89,10.20
10.5,9.41,9.32,9.85,10.08
11,9.38,9.31,9.80,9.95
11.5,9.35,9.30,9.76,9.83
12,9.32,9.29,9.71,9.71
12.5,9.30,9.28,9.67,9.59
13,9.27,9.28,9.62,9.46
13.5,9.24,9.27,9.58,9.34
14,9.22,9.26,9.53,9.22
14.5,9.19,9.25,9.49,9.10
15,9.16,9.24,9.44,8.97
15.5,9.13,9.23,9.40,8.85
16,9.11,9.22,9.35,8.73
16.5,9.08,9.21,9.31,8.61
17,9.05,9.20,9.26,8.48
17.5,9.03,9.19,9.21,8.36
18,9.00,9.19,9.17,8.24
18.5,8.97,9.18,9.12,8.12
19,8.94,9.17,9.08,7.99
19.5,8.92,9.16,9.03,7.87
20,8.89,9.15,8.99,7.75
20.5,8.86,9.14,8.96,7.77
21,8.83,9.13,8.94,7.79
21.5,8.80,9.12,8.91,7.81
22,8.76,9.11,8.89,7.82
22.5,8.73,9.10,8.86,7.84
23,8.70,9.09,8.84,7.86
23.5,8.67,9.08,8.81,7.88
24,8.64,9.07,8.78,7.90
24.5,8.61,9.06,8.76,7.91
25,8.58,9.05,8.73,7.93
25.5,8.54,9.04,8.71,7.95
26,8.51,9.03,8.68,7.97
26.5,8.48,9.02,8.66,7.99
27,8.45,9.01,8.63,8.01
27.5,8.42,9.00,8.61,8.02
28,8.39,8.99,8.58,8.04
28.5,8.36,8.98,8.55,8.06
29,8.32,8.97,8.53,8.08
29.5,8.29,8.96,8.50,8.10
30,8.26,8.95,8.48,8.12
30.5,8.25,8.90,8.47,8.10
31,8.24,8.86,8.47,8.09
31.5,8.23,8.82,8.47,8.07
32,8.22,8.78,8.47,8.06
32.5,8.21,8.73,8.46,8.05
33,8.20,8.69,8.46,8.03
33.5,8.19,8.65,8.46,8.02
34,8.17,8.60,8.46,8.01
34.5,8.16,8.56,8.45,7.99
35,8.15,8.52,8.45,7.98
35.5,8.14,8.47,8.45,7.96
36,8.13,8.43,8.45,7.95
36.5,8.12,8.39,8.44,7.94
37,8.11,8.34,8.44,7.92
37.5,8.10,8.30,8.44,7.91
38,8.09,8.26,8.44,7.89
38.5,8.08,8.22,8.43,7.88
39,8.07,8.17,8.43,7.87
39.5,8.06,8.13,8.43,7.85
40,8.04,8.09,8.43,7.84
40.5,8.03,8.12,8.40,7.78
41,8.01,8.16,8.37,7.72
41.5,7.99,8.19,8.34,7.66
42,7.97,8.23,8.31,7.60
42.5,7.95,8.26,8.28,7.54
43,7.93,8.30,8.25,7.48
43.5,7.91,8.33,8.22,7.43
44,7.89,8.37,8.19,7.37
44.5,7.87,8.40,8.16,7.31
45,7.86,8.44,8.13,7.25
45.5,7.84,8.47,8.10,7.19
46,7.82,8.51,8.07,7.13
46.5,7.80,8.54,8.04,7.07
47,7.78,8.58,8.02,7.01
47.5,7.76,8.61,7.99,6.95
48,7.74,8.65,7.96,6.89
48.5,7.72,8.68,7.93,6.83
49,7.71,8.72,7.90,6.78
49.5,7.69,8.75,7.87,6.72
50,7.67,8.79,7.84,6.66
50.5,7.67,8.71,7.84,6.67
51,7.68,8.63,7.85,6.69
51.5,7.69,8.55,7.85,6.71
52,7.69,8.48,7.86,6.73
52.5,7.70,8.40,7.86,6.75
53,7.71,8.32,7.86,6.76
53.5,7.72,8.24,7.87,6.78
54,7.72,8.16,7.87,6.80
54.5,7.73,8.09,7.88,6.82
55,7.74,8.01,7.88,6.84
55.5,7.74,7.93,7.89,6.85
56,7.75,7.85,7.89,6.87
56.5,7.76,7.77,7.89,6.89
57,7.76,7.70,7.90,6.91
57.5,7.77,7.62,7.90,6.92
58,7.78,7.54,7.91,6.94
58.5,7.78,7.46,7.91,6.96
59,7.79,7.39,7.92,6.98
59.5,7.80,7.31,7.92,7.00
60,7.80,7.23,7.92,7.01
60.5,7.79,7.32,7.92,6.98
61,7.77,7.41,7.92,6.96
61.5,7.75,7.49,7.92,6.93
62,7.74,7.58,7.92,6.90
62.5,7.72,7.67,7.92,6.87
63,7.70,7.76,7.92,6.84
63.5,7.69,7.85,7.92,6.81
64,7.67,7.93,7.92,6.78
64.5,7.65,8.02,7.92,6.75
65,7.64,8.11,7.92,6.72
65.5,7.62,8.20,7.92,6.70
66,7.60,8.29,7.92,6.67
66.5,7.59,8.38,7.92,6.64
67,7.57,8.46,7.92,6.61
67.5,7.55,8.55,7.92,6.58
68,7.53,8.64,7.92,6.55
68.5,7.52,8.73,7.92,6.52
69,7.50,8.82,7.92,6.49
69.5,7.48,8.90,7.92,6.46
70,7.47,8.99,7.92,6.44
70.5,7.46,8.97,7.91,6.48
71,7.46,8.94,7.89,6.52
71.5,7.46,8.91,7.88,6.56
72,7.45,8.89,7.86,6.60
73,7.45,8.83,7.83,6.68
73.5,7.45,8.81,7.82,6.72
74,7.44,8.78,7.80,6.76
74.5,7.44,8.75,7.78,6.80
75,7.44,8.73,7.77,6.84
75.5,7.43,8.70,7.75,6.88
76,7.43,8.67,7.74,6.92
76.5,7.43,8.65,7.72,6.96
77,7.43,8.62,7.71,7.00
78,7.42,8.57,7.68,7.08
78.5,7.42,8.54,7.66,7.12
79,7.41,8.52,7.65,7.16
79.5,7.41,8.49,7.63,7.20
80,7.41,8.46,7.62,7.24
80.5,7.41,8.48,7.58,7.22
81,7.40,8.50,7.54,7.19
81.5,7.40,8.52,7.50,7.17
82,7.40,8.54,7.46,7.14
82.5,7.40,8.55,7.43,7.12
83,7.40,8.57,7.39,7.09
83.5,7.40,8.59,7.35,7.07
84,7.39,8.61,7.31,7.04
84.5,7.39,8.63,7.27,7.02
85,7.39,8.65,7.24,6.99
85.5,7.39,8.67,7.20,6.97
86,7.39,8.68,7.16,6.94
86.5,7.39,8.70,7.12,6.92
87,7.38,8.72,7.08,6.89
87.5,7.38,8.74,7.05,6.87
88,7.38,8.76,7.01,6.84
88.5,7.38,8.78,6.97,6.82
89,7.38,8.79,6.93,6.79
89.5,7.37,8.81,6.89,6.77
90,7.37,8.83,6.86,6.74
90.5,7.38,8.77,6.86,6.78
91,7.39,8.72,6.86,6.81
91.5,7.40,8.66,6.86,6.85
92,7.41,8.60,6.86,6.88
93,7.43,8.49,6.86,6.95
93.5,7.44,8.43,6.86,6.99
94,7.46,8.37,6.86,7.02
94.5,7.47,8.31,6.87,7.06
95,7.48,8.26,6.87,7.09
95.5,7.49,8.20,6.87,7.13
96,7.50,8.14,6.87,7.16
96.5,7.51,8.09,6.87,7.20
97,7.52,8.03,6.87,7.23
97.5,7.53,7.97,6.87,7.27
98,7.54,7.91,6.87,7.30
98.5,7.55,7.86,6.87,7.34
99,7.56,7.80,6.87,7.37
99.5,7.57,7.74,6.88,7.41
100,7.58,7.68,6.88,7.44
