Score,Non- Hispanic white,Black,Hispanic,Asian
0,10.65,10.52,9.82,10.09
0.5,10.58,10.46,9.80,10.04
1,10.52,10.41,9.79,9.99
1.5,10.46,10.36,9.77,9.94
2,10.40,10.30,9.75,9.89
2.5,10.33,10.25,9.74,9.84
3,10.27,10.20,9.72,9.79
3.5,10.21,10.14,9.70,9.74
4,10.15,10.09,9.69,9.69
4.5,10.08,10.04,9.67,9.64
5,10.02,9.99,9.65,9.59
5.5,9.96,9.93,9.64,9.54
6,9.90,9.88,9.62,9.49
6.5,9.83,9.83,9.60,9.44
7,9.77,9.77,9.59,9.39
7.5,9.71,9.72,9.57,9.34
8,9.65,9.67,9.55,9.29
8.5,9.58,9.61,9.54,9.24
9,9.52,9.56,9.52,9.19
9.5,9.46,9.51,9.50,9.14
10,9.40,9.46,9.49,9.09
10.5,9.37,9.43,9.46,9.06
11,9.35,9.41,9.43,9.04
11.5,9.32,9.38,9.40,9.01
12,9.30,9.36,9.37,8.99
12.5,9.27,9.33,9.34,8.96
13,9.25,9.31,9.31,8.94
13.5,9.23,9.28,9.28,8.91
14,9.20,9.26,9.25,8.89
14.5,9.18,9.23,9.23,8.86
15,9.15,9.21,9.20,8.84
15.5,9.13,9.18,9.17,8.81
16,9.10,9.16,9.14,8.79
16.5,9.08,9.13,9.11,8.77
17,9.05,9.10,9.08,8.74
17.5,9.03,9.08,9.05,8.72
18,9.01,9.05,9.02,8.69
18.5,8.98,9.03,8.99,8.67
19,8.96,9.00,8.96,8.64
19.5,8.93,8.98,8.94,8.62
20,8.91,8.95,8.91,8.59
20.5,8.88,8.95,8.88,8.56
21,8.85,8.94,8.85,8.53
21.5,8.81,8.93,8.83,8.49
22,8.78,8.93,8.80,8.46
22.5,8.75,8.92,8.78,8.43
23,8.72,8.91,8.75,8.39
23.5,8.69,8.90,8.73,8.36
24,8.66,8.90,8.70,8.33
24.5,8.63,8.89,8.67,8.29
25,8.60,8.88,8.65,8.26
25.5,8.57,8.87,8.62,8.23
26,8.54,8.87,8.60,8.19
26.5,8.50,8.86,8.57,8.16
27,8.47,8.85,8.54,8.13
27.5,8.44,8.85,8.52,8.09
28,8.41,8.84,8.49,8.06
28.5,8.38,8.83,8.47,8.03
29,8.35,8.82,8.44,7.99
29.5,8.32,8.82,8.41,7.96
30,8.29,8.81,8.39,7.93
30.5,8.28,8.79,8.37,7.92
31,8.27,8.76,8.36,7.91
31.5,8.26,8.74,8.34,7.90
32,8.25,8.72,8.33,7.89
32.5,8.24,8.69,8.31,7.88
33,8.23,8.67,8.30,7.88
33.5,8.22,8.65,8.28,7.87
34,8.21,8.62,8.26,7.86
34.5,8.20,8.60,8.25,7.85
35,8.19,8.58,8.23,7.84
35.5,8.18,8.55,8.22,7.83
36,8.17,8.53,8.20,7.82
36.5,8.16,8.51,8.19,7.82
37,8.15,8.48,8.17,7.81
37.5,8.14,8.46,8.16,7.80
38,8.13,8.44,8.14,7.79
38.5,8.12,8.41,8.12,7.78
39,8.11,8.39,8.11,7.77
39.5,8.10,8.37,8.09,7.76
40,8.09,8.35,8.08,7.75
40.5,8.06,8.33,8.06,7.72
