Score,Male,Female
0,,11.40
0.5,,11.29
1,9.77,11.19
1.5,9.76,11.08
2,9.74,10.98
2.5,9.73,10.87
3,9.71,10.77
3.5,9.69,10.66
4,9.68,10.56
4.5,9.66,10.45
5,9.65,10.35
5.5,9.63,10.24
6,9.62,10.14
6.5,9.60,10.03
7,9.59,9.93
7.5,9.57,9.83
8,9.55,9.72
8.5,9.54,9.62
9,9.52,9.51
9.5,9.51,9.41
10,9.49,9.30
10.5,9.47,9.28
11,9.44,9.26
11.5,9.42,9.24
12,9.39,9.22
12.5,9.37,9.19
13,9.34,9.17
13.5,9.32,9.15
14,9.29,9.13
14.5,9.27,9.11
15,9.24,9.09
15.5,9.22,9.07
16,9.19,9.04
16.5,9.17,9.02
17,9.14,9.00
17.5,9.12,8.98
18,9.09,8.96
18.5,9.07,8.94
19,9.04,8.92
19.5,9.02,8.89
20,8.99,8.87
20.5,8.96,8.85
21,8.92,8.82
21.5,8.89,8.80
22,8.85,8.77
22.5,8.82,8.75
23,8.78,8.72
23.5,8.75,8.70
24,8.71,8.67
24.5,8.67,8.65
25,8.64,8.62
25.5,8.60,8.60
26,8.57,8.57
26.5,8.53,8.55
27,8.50,8.52
27.5,8.46,8.50
28,8.43,8.47
28.5,8.39,8.45
29,8.36,8.42
29.5,8.32,8.40
30,8.29,8.37
30.5,8.28,8.36
31,8.27,8.34
31.5,8.26,8.33
32,8.25,8.31
32.5,8.25,8.30
33,8.24,8.28
33.5,8.23,8.27
34,8.22,8.25
34.5,8.21,8.24
35,8.20,8.22
35.5,8.20,8.21
36,8.19,8.19
36.5,8.18,8.18
37,8.17,8.16
37.5,8.16,8.15
38,8.15,8.13
38.5,8.15,8.12
39,8.14,8.10
39.5,8.13,8.09
40,8.12,8.07
40.5,8.09,8.06
41,8.06,8.05
41.5,8.03,8.04
42,8.00,8.02
42.5,7.98,8.01
43,7.95,8.00
43.5,7.92,7.99
44,7.89,7.97
44.5,7.86,7.96
45,7.83,7.95
45.5,7.80,7.94
46,7.77,7.92
46.5,7.74,7.91
47,7.71,7.90
47.5,7.68,7.89
48,7.65,7.87
48.5,7.62,7.86
49,7.59,7.85
49.5,7.56,7.84
50,7.53,7.82
50.5,7.54,7.82
51,7.55,7.82
51.5,7.56,7.81
52,7.57,7.81
52.5,7.57,7.81
53,7.58,7.80
53.5,7.59,7.80
54,7.60,7.79
54.5,7.61,7.79
55,7.61,7.79
55.5,7.62,7.78
56,7.63,7.78
56.5,7.64,7.78
57,7.65,7.77
57.5,7.65,7.77
58,7.66,7.76
58.5,7.67,7.76
59,7.68,7.76
59.5,7.69,7.75
60,7.70,7.75
60.5,7.69,7.73
61,7.68,7.72
61.5,7.67,7.70
62,7.66,7.69
62.5,7.65,7.67
63,7.64,7.66
63.5,7.63,7.64
64,7.62,7.63
64.5,7.61,7.61
65,7.60,7.60
65.5,7.59,7.58
66,7.58,7.57
66.5,7.57,7.55
67,7.56,7.54
67.5,7.55,7.52
68,7.54,7.51
68.5,7.53,7.49
69,7.52,7.48
69.5,7.51,7.46
70,7.50,7.44
70.5,7.49,7.44
71,7.49,7.44
71.5,7.48,7.44
72,7.48,7.44
73,7.47,7.44
73.5,7.47,7.44
74,7.46,7.44
74.5,7.46,7.44
75,7.45,7.44
75.5,7.45,7.43
76,7.45,7.43
76.5,7.44,7.43
77,7.44,7.43
78,7.43,7.43
78.5,7.42,7.43
79,7.42,7.43
79.5,7.42,7.43
80,7.41,7.43
80.5,7.41,7.42
81,7.41,7.42
81.5,7.41,7.41
82,7.41,7.41
82.5,7.40,7.40
83,7.40,7.40
83.5,7.40,7.39
84,7.40,7.39
84.5,7.40,7.38
85,7.40,7.38
85.5,7.39,7.37
86,7.39,7.37
86.5,7.39,7.36
87,7.39,7.36
87.5,7.39,7.35
88,7.39,7.35
88.5,7.38,7.34
89,7.38,7.34
89.5,7.38,7.33
90,7.38,7.33
90.5,7.39,7.34
91,7.41,7.35
91.5,7.42,7.36
92,7.44,7.37
93,7.47,7.39
93.5,7.49,7.40
94,7.50,7.41
94.5,7.52,7.42
95,7.53,7.43
95.5,7.55,7.44
96,7.56,7.46
96.5,7.58,7.47
97,7.59,7.48
97.5,7.61,7.49
98,7.62,7.50
98.5,7.64,7.51
99,7.66,7.52
99.5,7.67,7.53
100,,7.54
