Score,Younger than 30,30-39,40-49,50-61,62 or older
0.5,19.17,17.88,19.07,17.53,16.85
1,19.00,17.81,18.84,17.40,16.87
1.5,18.83,17.73,18.61,17.27,16.89
2,18.66,17.65,18.39,17.14,16.91
2.5,18.49,17.57,18.16,17.02,16.93
3,18.32,17.50,17.93,16.89,16.95
3.5,18.15,17.42,17.71,,16.97
4,17.98,17.34,17.48,16.63,16.99
4.5,17.81,17.26,17.25,16.51,
5,17.64,17.18,17.02,16.38,17.03
5.5,17.47,17.11,16.80,16.25,
6,17.30,17.03,16.57,16.12,
6.5,17.13,16.95,16.34,16.00,17.09
7,16.96,16.87,16.12,15.87,
7.5,16.79,16.80,15.89,15.74,
8,16.62,16.72,15.66,15.61,17.15
8.5,16.45,16.64,15.43,15.49,17.16
9,16.28,16.56,15.21,15.36,
9.5,16.11,16.48,14.98,15.23,17.20
10,15.94,16.41,14.75,15.10,
10.5,15.76,16.17,14.67,14.99,17.01
11,15.59,15.93,14.59,14.87,16.79
11.5,15.42,15.69,14.50,14.75,16.58
12,15.24,15.46,14.42,14.63,16.36
12.5,15.07,15.22,14.33,14.51,
13,14.89,14.98,14.25,14.39,15.93
13.5,14.72,14.74,14.17,14.28,15.72
14,14.54,14.51,14.08,14.16,15.50
14.5,14.37,14.27,14.00,14.04,15.29
15,14.19,14.03,13.91,13.92,15.07
15.5,14.02,13.79,13.83,13.80,14.86
16,13.84,13.56,13.75,13.68,14.64
16.5,13.67,13.32,13.66,13.57,14.43
17,13.49,13.08,13.58,13.45,14.21
17.5,13.32,12.84,13.49,13.33,
18,13.14,12.61,13.41,13.21,13.78
18.5,12.97,12.37,13.33,13.09,13.57
19,12.79,12.13,13.24,12.97,
19.5,12.62,11.89,13.16,12.86,13.14
20,12.44,11.66,13.07,12.74,12.92
20.5,12.28,11.53,12.88,12.55,12.77
21,12.11,11.41,12.68,12.36,12.62
21.5,11.95,11.29,12.48,12.18,12.48
22,11.78,11.17,12.28,11.99,
22.5,11.62,11.05,12.08,11.81,12.18
23,11.45,10.93,11.88,11.62,12.03
23.5,11.28,10.81,11.68,11.43,11.88
24,11.12,10.69,11.48,11.25,11.73
24.5,10.95,10.57,11.28,11.06,11.58
25,10.79,10.45,11.08,10.88,11.43
25.5,10.62,10.33,10.88,10.69,11.28
26,10.45,10.20,10.68,10.50,11.13
26.5,10.29,10.08,10.49,10.32,10.98
27,10.12,9.96,10.29,10.13,10.83
27.5,9.96,9.84,10.09,9.95,10.68
28,9.79,9.72,9.89,9.76,10.53
28.5,9.63,9.60,9.69,9.57,10.38
29,9.46,9.48,9.49,9.39,10.23
29.5,9.29,9.36,9.29,9.20,10.08
30,9.13,9.24,9.09,9.02,9.93
30.5,9.03,9.11,9.01,8.92,9.83
31,8.94,8.99,8.93,8.81,9.72
31.5,8.84,8.86,8.85,8.71,9.62
32,8.75,8.74,8.77,8.61,9.51
32.5,8.65,8.61,8.69,8.51,9.40
33,8.56,8.48,8.61,8.41,9.30
33.5,8.46,8.36,8.53,8.31,9.19
34,8.37,8.23,8.45,8.21,9.09
34.5,8.27,8.11,8.37,8.11,8.98
35,8.18,7.98,8.29,8.01,8.88
35.5,8.08,7.86,8.21,7.91,8.77
36,7.99,7.73,8.13,7.80,8.67
36.5,7.89,7.60,8.05,7.70,8.56
37,7.80,7.48,7.97,7.60,8.45
37.5,7.71,7.35,7.89,7.50,8.35
38,7.61,7.23,7.81,7.40,8.24
38.5,7.52,7.10,7.73,7.30,8.14
39,7.42,6.98,7.65,7.20,8.03
39.5,7.33,6.85,7.57,7.10,
40,7.23,6.72,7.49,7.00,7.82
40.5,7.23,6.70,7.44,6.97,7.75
41,7.23,6.68,7.38,6.95,7.67
41.5,7.22,6.66,7.33,6.92,7.60
42,7.22,6.64,7.27,6.90,7.53
42.5,7.22,6.62,7.22,6.88,7.45
43,7.22,6.59,7.17,6.85,7.38
43.5,7.22,6.57,7.11,6.83,7.30
44,7.21,6.55,7.06,6.80,7.23
44.5,7.21,6.53,7.00,6.78,7.15
45,7.21,6.51,6.95,6.75,7.08
45.5,7.21,6.49,6.90,6.73,7.01
46,7.20,6.46,6.84,6.71,6.93
46.5,7.20,6.44,6.79,6.68,6.86
47,7.20,6.42,6.73,6.66,6.78
47.5,7.20,6.40,6.68,6.63,6.71
48,7.20,6.38,6.62,6.61,6.64
48.5,7.19,6.36,6.57,6.58,6.56
49,7.19,6.33,6.52,6.56,6.49
49.5,7.19,6.31,6.46,6.54,6.41
50,7.19,6.29,6.41,6.51,6.34
50.5,7.13,6.26,6.38,6.46,6.35
51,7.07,6.23,6.35,6.42,6.36
51.5,7.01,6.20,6.32,6.37,6.37
52,6.95,6.17,6.29,6.32,6.38
52.5,6.90,6.14,6.27,6.27,6.40
53,6.84,6.10,6.24,6.23,6.41
53.5,6.78,6.07,6.21,6.18,6.42
54,6.72,6.04,6.18,6.13,6.43
54.5,6.66,6.01,6.15,6.08,6.44
55,6.60,5.98,6.13,6.04,6.45
55.5,6.54,5.95,6.10,5.99,6.46
56,6.49,5.92,6.07,5.94,6.48
56.5,6.43,5.89,6.04,5.89,6.49
57,6.37,5.86,6.01,5.85,6.50
57.5,6.31,5.82,5.98,5.80,6.51
58,6.25,5.79,5.96,5.75,6.52
58.5,6.19,5.76,5.93,5.71,6.53
59,6.13,5.73,5.90,5.66,6.54
59.5,6.08,5.70,5.87,5.61,6.55
60,6.02,5.67,5.84,5.56,6.57
60.5,6.02,5.66,5.85,5.56,6.51
61,6.02,5.66,5.85,5.55,6.46
61.5,6.02,5.65,5.85,5.55,6.41
62,6.03,5.64,5.86,5.55,6.36
62.5,6.03,5.64,5.86,5.54,6.31
63,6.03,5.63,5.86,5.54,6.26
63.5,6.03,5.62,5.87,5.53,6.20
64,6.04,5.62,5.87,5.53,6.15
64.5,6.04,5.61,5.88,5.52,6.10
65,6.04,5.60,5.88,5.52,6.05
65.5,6.04,5.60,5.88,5.51,6.00
66,6.05,5.59,5.89,5.51,5.94
66.5,6.05,5.58,5.89,5.51,5.89
67,6.05,5.58,5.89,5.50,5.84
67.5,6.05,5.57,5.90,5.50,5.79
68,6.06,5.56,5.90,5.49,5.74
68.5,6.06,5.56,5.90,5.49,5.69
69,6.06,5.55,5.91,5.48,5.63
69.5,6.06,5.54,5.91,5.48,5.58
70,6.07,5.54,5.92,5.48,5.53
70.5,6.04,5.54,5.88,5.46,5.55
71,6.01,5.55,5.85,5.45,5.58
71.5,5.98,5.56,5.81,5.44,5.60
72,5.94,5.56,5.78,5.43,5.62
73,5.88,5.58,5.71,5.41,5.67
73.5,5.85,5.58,5.68,5.40,5.69
74,5.82,5.59,5.65,5.38,5.71
74.5,5.79,5.60,5.61,5.37,5.74
75,,5.61,5.58,5.36,5.76
75.5,5.73,5.61,5.55,5.35,5.78
76,5.70,5.62,5.51,5.34,5.80
76.5,5.67,5.63,5.48,5.33,5.83
77,5.64,5.63,5.45,5.32,5.85
78,5.58,5.65,5.38,5.29,5.89
78.5,,5.65,5.35,5.28,5.92
79,5.52,5.66,5.31,5.27,5.94
79.5,,5.67,5.28,5.26,5.96
80,5.46,5.68,5.24,5.25,5.99
80.5,5.45,5.62,5.24,5.26,5.96
81,5.43,5.57,5.23,5.27,5.94
81.5,5.41,5.52,5.23,5.29,5.91
82,,5.47,5.22,5.30,5.89
82.5,5.38,5.41,5.21,5.31,5.86
83,5.37,5.36,5.21,5.33,5.84
83.5,5.35,5.31,5.20,5.34,5.82
84,,5.26,5.20,5.35,5.79
84.5,,5.21,5.19,5.36,5.77
85,,5.15,5.18,5.38,5.74
85.5,5.29,5.10,5.18,5.39,5.72
86,,5.05,5.17,5.40,5.70
86.5,,5.00,5.16,5.42,5.67
87,5.24,4.95,5.16,5.43,5.65
87.5,5.22,4.89,5.15,5.44,5.62
88,,4.84,5.15,5.45,5.60
88.5,5.19,4.79,5.14,5.47,5.57
89,,4.74,5.13,5.48,5.55
89.5,,4.69,5.13,5.49,5.53
90,,4.63,5.12,5.51,5.50
90.5,,,5.12,5.49,5.52
91,,4.78,5.11,5.46,5.54
91.5,5.11,4.85,5.10,5.44,5.56
92,,4.93,5.10,5.42,5.58
93,5.07,5.07,5.09,5.38,5.62
93.5,,5.15,5.08,5.36,5.64
94,,5.22,5.07,5.34,5.66
94.5,,5.29,5.07,5.32,5.68
95,,5.37,5.06,5.30,5.69
95.5,,5.44,5.06,5.28,5.71
96,,5.51,5.05,5.26,5.73
96.5,,5.59,5.05,5.23,5.75
97,,5.66,5.04,5.21,5.77
97.5,,5.73,5.03,5.19,5.79
98,,5.81,5.03,5.17,5.81
98.5,4.94,,5.02,5.15,5.83
99,,5.95,5.02,5.13,5.85
99.5,,,,5.11,
