Score,Low,Moderate,Middle,High
0.5,20.13,19.47,18.38,16.40
1,19.93,19.33,18.21,16.36
1.5,,19.18,18.04,16.32
2,19.53,19.04,17.88,16.28
2.5,19.32,18.89,17.71,16.23
3,19.12,18.75,17.54,16.19
3.5,18.92,18.60,17.37,16.15
4,18.72,18.46,17.20,16.11
4.5,,18.31,17.03,
5,,18.17,16.86,16.03
5.5,18.11,18.02,16.69,15.98
6,17.91,17.88,16.52,15.94
6.5,,17.73,16.35,15.90
7,17.50,17.59,16.18,15.86
7.5,,17.44,16.02,15.82
8,,17.30,15.85,15.78
8.5,,17.15,15.68,15.73
9,16.69,17.01,15.51,15.69
9.5,16.49,16.86,15.34,15.65
10,16.29,16.72,15.17,15.61
10.5,,16.51,15.05,15.39
11,16.23,16.31,14.92,15.16
11.5,16.20,16.10,14.80,14.94
12,16.17,15.90,14.68,14.71
12.5,,15.69,14.55,14.49
13,,15.49,14.43,14.27
13.5,,15.28,14.31,14.04
14,,15.08,14.18,13.82
14.5,16.01,14.87,14.06,13.59
15,,14.67,13.94,13.37
15.5,15.95,14.46,13.81,13.15
16,15.92,14.26,13.69,12.92
16.5,,14.05,13.57,12.70
17,15.86,13.85,13.44,12.47
17.5,,13.64,13.32,12.25
18,15.80,13.44,13.20,12.03
18.5,15.77,13.23,13.08,11.80
19,15.74,13.03,12.95,11.58
19.5,15.71,12.82,12.83,11.35
20,15.68,12.62,12.71,11.13
20.5,15.43,12.46,12.53,11.01
21,15.19,12.31,12.36,10.90
21.5,,12.16,12.19,10.78
22,,12.01,12.02,10.67
22.5,14.46,11.86,11.84,10.55
23,14.22,11.71,11.67,10.44
23.5,,11.56,11.50,10.32
24,13.73,11.41,11.32,10.21
24.5,,11.26,11.15,10.09
25,13.25,11.10,10.98,9.98
25.5,13.00,10.95,10.81,9.86
26,12.76,10.80,10.63,9.75
26.5,12.52,10.65,10.46,9.63
27,12.27,10.50,10.29,9.52
27.5,,10.35,10.12,9.40
28,11.79,10.20,9.94,9.29
28.5,,10.05,9.77,9.17
29,11.30,9.90,9.60,9.06
29.5,11.06,9.74,9.43,8.94
30,10.82,9.59,9.25,8.83
30.5,10.64,9.49,9.16,8.71
31,10.47,9.39,9.07,8.60
31.5,10.30,9.29,8.98,8.49
32,10.13,9.19,8.89,8.38
32.5,9.95,9.09,8.80,8.27
33,,8.99,8.70,8.16
33.5,9.61,8.88,8.61,8.05
34,9.43,8.78,8.52,7.94
34.5,,8.68,8.43,7.83
35,9.09,8.58,8.34,7.72
35.5,8.92,8.48,8.25,7.61
36,8.74,8.38,8.16,7.50
36.5,8.57,8.28,8.06,7.39
37,8.40,8.18,7.97,7.27
37.5,,8.07,7.88,7.16
38,8.05,7.97,7.79,7.05
38.5,7.88,7.87,7.70,6.94
39,7.70,7.77,7.61,6.83
39.5,,7.67,7.51,6.72
40,7.36,7.57,7.42,6.61
40.5,7.28,7.54,7.38,6.59
41,7.21,7.51,7.34,6.57
41.5,,7.48,7.30,6.55
