Score,Married male,Single male,Married female,Single female
0.5,,16.92,18.68,17.16
1,18.70,16.92,18.53,17.13
1.5,18.46,16.93,18.37,17.10
2,18.22,16.93,18.21,17.08
2.5,17.97,16.93,18.05,17.05
3,17.73,16.94,17.89,17.02
3.5,17.49,16.94,17.73,16.99
4,17.25,16.94,17.57,16.96
4.5,17.00,16.95,17.41,16.94
5,16.76,16.95,17.25,16.91
5.5,16.52,16.95,17.09,16.88
6,16.28,16.96,16.93,16.85
6.5,16.03,16.96,16.77,16.82
7,15.79,16.96,16.62,16.80
7.5,15.55,16.97,16.46,
8,15.30,16.97,16.30,16.74
8.5,15.06,16.97,16.14,16.71
9,14.82,16.98,15.98,16.68
9.5,14.58,,15.82,16.66
10,14.33,16.98,15.66,16.63
10.5,14.26,16.72,15.50,16.44
11,14.18,16.46,15.34,16.26
11.5,14.10,16.19,15.17,16.07
12,14.03,15.93,15.01,15.89
12.5,13.95,15.67,14.85,15.70
13,13.87,15.40,14.68,15.51
13.5,13.79,15.14,14.52,15.33
14,13.72,14.87,14.36,15.14
14.5,13.64,14.61,14.20,14.96
15,13.56,14.35,14.03,14.77
15.5,13.49,14.08,13.87,14.58
16,13.41,13.82,13.71,14.40
16.5,13.33,13.56,13.55,14.21
17,13.25,13.29,13.38,14.03
17.5,13.18,13.03,13.22,13.84
18,13.10,12.77,13.06,13.66
18.5,13.02,12.50,12.90,13.47
19,12.95,12.24,12.73,13.28
19.5,12.87,11.98,12.57,13.10
20,12.79,11.71,12.41,12.91
20.5,12.60,11.61,12.22,12.74
21,12.41,11.51,12.02,12.57
21.5,12.22,11.41,11.83,
22,12.02,11.31,11.64,12.24
22.5,11.83,11.22,11.45,12.07
23,11.64,11.12,11.26,11.90
23.5,11.45,11.02,11.07,11.73
24,11.26,10.92,10.87,11.56
24.5,11.07,10.82,10.68,11.39
25,10.88,10.72,10.49,11.22
25.5,10.68,10.62,10.30,11.05
26,10.49,10.52,10.11,10.88
26.5,10.30,10.42,9.92,10.71
27,10.11,10.32,9.72,10.54
27.5,9.92,10.22,9.53,10.37
28,9.73,10.12,9.34,10.20
28.5,9.53,10.02,9.15,10.03
29,9.34,9.92,8.96,9.86
29.5,9.15,9.82,8.77,9.70
30,8.96,9.72,8.57,9.53
30.5,8.85,9.58,8.50,9.48
31,8.73,9.44,8.43,9.43
31.5,8.62,9.30,8.35,9.38
32,8.50,9.15,8.28,9.33
32.5,8.39,9.01,8.20,9.28
33,8.28,8.87,8.13,9.23
33.5,8.16,8.72,8.06,9.18
34,8.05,8.58,7.98,9.14
