Score,Non- Hispanic white,Black,Hispanic,Asian
0.5,17.84,20.10,16.83,17.35
1,17.69,19.93,16.80,17.27
1.5,17.54,19.76,16.77,17.18
2,17.39,19.59,16.75,17.10
2.5,17.25,19.42,16.72,17.02
3,17.10,19.25,16.69,16.94
3.5,16.95,19.08,16.67,16.85
4,16.80,18.90,16.64,16.77
4.5,16.65,18.73,16.61,16.69
5,16.50,18.56,16.58,16.61
5.5,16.36,18.39,16.56,16.52
6,16.21,18.22,16.53,16.44
6.5,16.06,18.05,16.50,16.36
7,15.91,17.88,16.48,16.28
7.5,15.76,17.71,16.45,16.20
8,15.62,17.54,16.42,16.11
8.5,15.47,17.37,16.40,16.03
9,15.32,17.20,16.37,15.95
9.5,15.17,17.03,16.34,15.87
10,15.02,16.86,16.32,15.78
10.5,14.88,16.72,16.10,15.51
11,14.74,16.58,15.88,15.24
11.5,14.60,16.44,15.66,14.96
12,14.45,16.30,15.45,14.69
12.5,14.31,16.16,15.23,14.41
13,14.17,16.02,15.01,14.14
13.5,14.03,15.88,14.80,13.86
14,13.88,15.74,14.58,13.59
14.5,13.74,15.60,14.36,13.32
15,13.60,15.46,14.14,13.04
15.5,13.45,15.32,13.93,12.77
16,13.31,15.18,13.71,12.49
16.5,13.17,15.04,13.49,12.22
17,13.03,14.90,13.28,11.94
17.5,12.88,14.76,13.06,11.67
18,12.74,14.62,12.84,11.40
18.5,12.60,14.48,12.63,11.12
19,12.46,14.34,12.41,10.85
19.5,12.31,14.20,12.19,10.57
20,12.17,14.06,11.97,10.30
20.5,12.01,13.88,11.87,10.18
21,11.85,13.70,11.76,10.06
21.5,11.69,13.53,11.66,9.94
22,11.53,13.35,11.55,9.82
22.5,11.37,13.17,11.44,9.70
23,11.20,13.00,11.34,9.58
23.5,11.04,12.82,11.23,9.46
24,10.88,12.64,11.13,9.34
24.5,10.72,12.47,11.02,9.23
25,10.56,12.29,10.91,9.11
25.5,10.40,12.11,10.81,8.99
26,10.24,11.94,10.70,8.87
26.5,10.08,11.76,10.60,8.75
27,9.92,11.58,10.49,8.63
27.5,9.75,11.41,10.39,8.51
28,9.59,11.23,10.28,8.39
28.5,9.43,11.06,10.17,8.27
29,9.27,10.88,10.07,8.15
29.5,9.11,10.70,9.96,8.03
30,8.95,10.53,9.86,7.91
30.5,8.85,10.39,9.75,7.84
31,8.75,10.25,9.64,7.77
31.5,8.66,10.11,9.54,7.69
32,8.56,9.97,9.43,7.62
32.5,8.46,9.84,9.33,7.55
33,8.36,9.70,9.22,7.47
33.5,8.27,9.56,9.12,7.40
34,8.17,9.42,9.01,7.33
34.5,8.07,9.28,8.91,7.25
35,7.97,9.15,8.80,7.18
35.5,7.88,9.01,8.70,7.11
36,7.78,8.87,8.59,7.03
36.5,7.68,8.73,8.49,6.96
37,7.58,8.59,8.38,6.88
37.5,7.49,8.45,8.28,6.81
38,7.39,8.32,8.17,6.74
38.5,7.29,8.18,8.07,6.66
39,7.19,8.04,7.96,6.59
39.5,7.10,7.90,7.86,6.52
40,7.00,7.76,7.75,6.44
40.5,6.97,7.70,7.74,6.43
41,6.95,7.64,7.73,6.41
41.5,6.93,7.58,7.72,6.39
42,6.90,7.51,7.72,6.37
42.5,6.88,7.45,7.71,6.35
43,6.85,7.39,7.70,6.33
43.5,6.83,7.32,7.69,6.32
44,6.80,7.26,7.68,6.30
44.5,6.78,7.20,7.67,6.28
45,6.75,7.13,7.66,6.26
45.5,6.73,7.07,7.66,6.24
46,6.71,7.01,7.65,6.22
46.5,6.68,6.94,7.64,6.20
47,6.66,6.88,7.63,6.19
47.5,6.63,6.82,7.62,6.17
48,6.61,6.75,7.61,6.15
48.5,6.58,6.69,7.60,6.13
49,6.56,6.63,7.60,6.11
49.5,6.53,6.56,7.59,6.09
50,6.51,6.50,7.58,6.08
50.5,6.47,6.51,7.52,6.06
51,6.44,6.53,7.45,6.04
51.5,6.40,6.54,7.39,6.03
52,6.36,6.55,7.33,6.01
52.5,6.33,6.56,7.27,6.00
53,6.29,6.58,7.21,5.98
53.5,6.25,6.59,7.15,5.96
54,6.22,6.60,7.09,5.95
54.5,6.18,6.62,7.02,5.93
55,6.14,6.63,6.96,5.92
