Score,Non- Hispanic white,Black,Hispanic,Asian
0.5,18.18,19.15,18.48,17.99
1,18.03,19.03,18.35,17.86
1.5,17.88,18.91,18.22,17.72
2,17.73,18.80,18.08,17.59
2.5,17.58,18.68,17.95,17.45
3,17.43,18.56,17.82,17.32
3.5,17.28,18.45,17.69,17.19
4,17.13,18.33,17.55,17.05
4.5,16.98,18.21,17.42,16.92
5,16.83,18.10,17.29,16.78
5.5,16.68,17.98,17.15,16.65
6,16.53,17.86,17.02,16.51
6.5,16.38,17.75,16.89,16.38
7,16.23,17.63,16.76,16.25
7.5,16.08,17.51,16.62,16.11
8,15.93,17.39,16.49,15.98
8.5,15.78,17.28,16.36,15.84
9,15.63,17.16,16.23,15.71
9.5,15.48,17.04,16.09,15.57
10,15.33,16.93,15.96,15.44
10.5,15.18,16.74,15.77,15.28
11,15.03,16.55,15.58,15.13
11.5,14.88,16.36,15.39,14.97
12,14.74,16.17,15.21,14.82
12.5,14.59,15.99,15.02,14.66
13,14.44,15.80,14.83,14.51
13.5,14.29,15.61,14.64,14.35
14,14.14,15.42,14.45,14.20
14.5,13.99,15.23,14.26,14.04
15,13.84,15.04,14.08,13.89
15.5,13.69,14.86,13.89,13.73
16,13.54,14.67,13.70,13.58
16.5,13.40,14.48,13.51,13.42
17,13.25,14.29,13.32,13.27
17.5,13.10,14.10,13.13,13.11
18,12.95,13.91,12.94,12.96
18.5,12.80,13.73,12.76,12.80
19,12.65,13.54,12.57,12.65
19.5,12.50,13.35,12.38,12.49
20,12.35,13.16,12.19,12.34
20.5,12.19,13.02,12.06,12.18
21,12.02,12.88,11.94,12.01
21.5,11.86,12.74,11.81,11.85
22,11.69,12.60,11.69,11.69
22.5,11.52,12.46,11.56,11.53
23,11.36,12.32,11.43,11.37
23.5,11.19,12.18,11.31,11.21
24,11.03,12.04,11.18,11.05
24.5,10.86,11.90,11.06,10.89
25,10.70,11.76,10.93,10.72
25.5,10.53,11.62,10.81,10.56
26,10.37,11.48,10.68,10.40
26.5,10.20,11.34,10.55,10.24
27,10.03,11.20,10.43,10.08
27.5,9.87,11.06,10.30,9.92
28,9.70,10.92,10.18,9.76
28.5,9.54,10.78,10.05,9.60
29,9.37,10.64,9.92,9.43
29.5,9.21,10.50,9.80,9.27
30,9.04,10.35,9.67,9.11
30.5,8.94,10.23,9.57,9.00
31,8.85,10.10,9.46,8.88
31.5,8.75,9.97,9.35,8.77
32,8.66,9.84,9.24,8.65
32.5,8.56,9.72,9.13,8.54
33,8.47,9.59,9.03,8.42
33.5,8.37,9.46,8.92,8.31
34,8.28,9.33,8.81,8.19
34.5,8.18,9.20,8.70,8.08
35,8.09,9.08,8.60,7.96
35.5,7.99,8.95,8.49,7.85
36,7.90,8.82,8.38,7.73
36.5,7.80,8.69,8.27,7.62
37,7.70,8.56,8.17,7.50
37.5,7.61,8.44,8.06,7.39
38,7.51,8.31,7.95,7.27
38.5,7.42,8.18,7.84,7.16
39,7.32,8.05,7.73,7.04
39.5,7.23,7.93,7.63,6.93
40,7.13,7.80,7.52,6.81
40.5,7.10,7.73,7.47,6.78
41,7.07,7.67,7.43,6.75
41.5,7.04,7.61,7.38,6.73
42,7.01,7.54,7.34,6.70
42.5,6.98,7.48,7.30,6.67
43,6.95,7.41,7.25,6.64
43.5,6.92,7.35,7.21,6.62
44,6.89,7.29,7.16,6.59
44.5,6.86,7.22,7.12,6.56
45,6.84,7.16,7.07,6.53
45.5,6.81,7.10,7.03,6.50
46,6.78,7.03,6.98,6.48
46.5,6.75,6.97,6.94,6.45
47,6.72,6.90,6.89,6.42
47.5,6.69,6.84,6.85,6.39
48,6.66,6.78,6.80,6.36
48.5,6.63,6.71,6.76,6.34
49,6.60,6.65,6.71,6.31
49.5,6.57,6.58,6.67,6.28
50,6.54,6.52,6.62,6.25
50.5,6.50,6.50,6.61,6.25
51,6.47,6.48,6.60,6.24
51.5,6.43,6.46,6.58,6.24
52,6.40,6.43,6.57,6.23
52.5,6.37,6.41,6.56,6.22
53,6.33,6.39,6.55,6.22
53.5,6.30,6.37,6.53,6.21
54,6.26,6.35,6.52,6.21
54.5,6.23,6.32,6.51,6.20
55,6.19,6.30,6.49,6.19
55.5,6.16,6.28,6.48,6.19
56,6.13,6.26,6.47,6.18
56.5,6.09,6.24,6.46,6.18
57,6.06,6.22,6.44,6.17
57.5,6.02,6.19,6.43,6.17
58,5.99,6.17,6.42,6.16
58.5,5.95,6.15,6.40,6.15
59,5.92,6.13,6.39,6.15
59.5,5.88,6.11,6.38,6.14
60,5.85,6.08,6.37,6.14
60.5,5.84,6.07,6.32,6.10
61,5.83,6.06,6.27,6.06
61.5,5.83,6.04,6.23,6.03
62,5.82,6.03,6.18,5.99
62.5,5.81,6.01,6.14,5.95
63,5.80,6.00,6.09,5.91
63.5,5.79,5.98,6.05,5.88
64,5.79,5.97,6.00,5.84
64.5,5.78,5.95,5.96,5.80
65,5.77,5.94,5.91,5.77
65.5,5.76,5.92,5.86,5.73
66,5.75,5.91,5.82,5.69
66.5,5.74,5.90,5.77,5.66
67,5.74,5.88,5.73,5.62
67.5,5.73,5.87,5.68,5.58
68,5.72,5.85,5.64,5.55
68.5,5.71,5.84,5.59,5.51
69,5.70,5.82,5.55,5.47
69.5,5.70,5.81,5.50,5.43
70,5.69,5.79,5.45,5.40
70.5,5.67,5.79,5.47,5.41
71,5.66,5.80,5.48,5.42
71.5,5.65,5.80,5.49,5.44
72,5.63,5.80,5.50,5.45
73,5.61,5.80,5.52,5.48
73.5,5.59,5.80,5.53,5.49
74,5.58,5.80,5.54,5.50
74.5,5.56,5.80,5.55,5.52
75,5.55,5.80,5.57,5.53
75.5,5.54,5.80,5.58,5.54
76,5.52,5.80,5.59,5.55
76.5,5.51,5.80,5.60,5.57
77,5.50,5.81,5.61,5.58
78,5.47,5.81,5.63,5.61
78.5,5.46,5.81,5.64,5.62
79,5.44,5.81,5.65,5.63
79.5,5.43,5.81,5.67,5.65
80,5.41,5.81,5.68,5.66
80.5,5.41,5.78,5.66,5.61
81,5.40,5.74,5.65,5.57
81.5,5.40,5.71,5.64,5.53
82,5.39,5.68,5.63,5.48
82.5,5.39,5.65,5.61,5.44
83,5.38,5.61,5.60,5.39
83.5,5.37,5.58,5.59,5.35
84,5.37,5.55,5.58,5.31
84.5,5.36,5.51,5.56,5.26
85,5.36,5.48,5.55,5.22
85.5,5.35,5.45,5.54,5.17
86,5.34,5.41,5.53,5.13
86.5,5.34,5.38,5.51,5.08
87,5.33,5.35,5.50,5.04
87.5,5.33,5.31,5.49,5.00
88,5.32,5.28,5.48,4.95
88.5,5.32,5.25,5.46,4.91
89,5.31,5.21,5.45,4.86
89.5,5.30,5.18,5.44,4.82
90,5.30,5.15,5.43,4.77
90.5,5.30,5.20,5.42,4.81
91,5.30,5.26,5.42,4.84
91.5,5.30,5.31,5.42,4.88
92,5.31,5.37,5.42,4.91
93,5.31,5.48,5.41,4.98
93.5,5.31,5.53,5.41,5.02
94,5.31,5.59,5.41,5.05
94.5,5.31,5.64,5.41,5.09
95,5.32,5.70,5.41,5.13
95.5,5.32,5.75,5.40,5.16
96,5.32,5.80,5.40,5.20
96.5,5.32,5.86,5.40,5.23
97,5.32,5.91,5.40,5.27
97.5,5.33,5.97,5.39,5.30
98,5.33,6.02,5.39,5.34
98.5,5.33,6.08,5.39,5.37
99,5.33,6.13,5.39,5.41
99.5,5.33,6.19,5.39,5.44
