Score,Male,Female
0.5,18.36,18.50
1,18.22,18.36
1.5,18.08,18.21
2,17.94,18.06
2.5,17.80,17.92
3,17.66,17.77
3.5,17.52,17.62
4,17.38,17.47
4.5,17.23,17.33
5,17.09,17.18
5.5,16.95,17.03
6,16.81,16.88
6.5,16.67,16.74
7,16.53,16.59
7.5,16.39,16.44
8,16.25,16.30
8.5,16.11,16.15
9,15.97,16.00
9.5,15.83,15.85
10,15.69,15.71
10.5,15.52,15.55
11,15.35,15.40
11.5,15.18,15.24
12,15.01,15.09
12.5,14.84,14.94
13,14.67,14.78
13.5,14.50,14.63
14,14.33,14.48
14.5,14.16,14.32
15,14.00,14.17
15.5,13.83,14.01
16,13.66,13.86
16.5,13.49,13.71
17,13.32,13.55
17.5,13.15,13.40
18,12.98,13.24
18.5,12.81,13.09
19,12.64,12.94
19.5,12.47,12.78
20,12.31,12.63
20.5,12.15,12.45
21,12.00,12.28
21.5,11.84,12.10
22,11.69,11.93
22.5,11.53,11.75
23,11.38,11.58
23.5,11.22,11.40
24,11.07,11.23
24.5,10.92,11.05
25,10.76,10.88
25.5,10.61,10.70
26,10.45,10.53
26.5,10.30,10.35
27,10.14,10.18
27.5,9.99,10.00
28,9.84,9.83
28.5,9.68,9.65
29,9.53,9.48
29.5,9.37,9.30
30,9.22,9.13
30.5,9.10,9.05
31,8.99,8.97
31.5,8.87,8.89
32,8.76,8.81
32.5,8.64,8.73
33,8.53,8.65
33.5,8.41,8.57
34,8.30,8.49
34.5,8.18,8.41
35,8.07,8.33
35.5,7.95,8.25
36,7.84,8.17
36.5,7.72,8.09
37,7.61,8.01
37.5,7.49,7.93
38,7.38,7.85
38.5,7.26,7.77
39,7.15,7.69
39.5,7.03,7.61
40,6.91,7.52
40.5,6.91,7.47
41,6.90,7.41
41.5,6.89,7.35
42,6.88,7.29
42.5,6.87,7.23
43,6.86,7.17
43.5,6.85,7.11
44,6.84,7.05
44.5,6.83,7.00
45,6.82,6.94
45.5,6.82,6.88
46,6.81,6.82
46.5,6.80,6.76
47,6.79,6.70
47.5,6.78,6.64
48,6.77,6.58
48.5,6.76,6.52
49,6.75,6.47
49.5,6.74,6.41
50,6.73,6.35
50.5,6.69,6.32
51,6.64,6.30
51.5,6.59,6.28
52,6.55,6.25
52.5,6.50,6.23
53,6.45,6.21
53.5,6.41,6.18
54,6.36,6.16
54.5,6.31,6.14
55,6.27,6.11
55.5,6.22,6.09
56,6.17,6.07
56.5,6.13,6.04
57,6.08,6.02
57.5,6.03,6.00
58,5.99,5.97
58.5,5.94,5.95
59,5.89,5.93
59.5,5.84,5.90
60,5.80,5.88
60.5,5.79,5.88
61,5.78,5.88
61.5,5.77,5.87
62,5.75,5.87
62.5,5.74,5.87
63,5.73,5.87
63.5,5.72,5.87
64,5.71,5.87
64.5,5.70,5.87
65,5.69,5.87
65.5,5.68,5.86
66,5.67,5.86
66.5,5.66,5.86
67,5.65,5.86
67.5,5.63,5.86
68,5.62,5.86
68.5,5.61,5.86
69,5.60,5.85
69.5,5.59,5.85
70,5.58,5.85
70.5,5.58,5.82
71,5.58,5.79
71.5,5.58,5.76
72,5.58,5.73
73,5.59,5.68
73.5,5.59,5.65
74,5.59,5.62
74.5,5.59,5.59
75,5.59,5.56
75.5,5.59,5.53
76,5.59,5.50
76.5,5.59,5.47
77,5.59,5.44
78,5.60,5.38
78.5,5.60,5.35
79,5.60,5.32
79.5,5.60,5.29
80,5.60,5.27
80.5,5.59,5.26
81,5.57,5.26
81.5,5.56,5.26
82,5.55,5.25
82.5,5.53,5.25
83,5.52,5.25
83.5,5.51,5.24
84,5.49,5.24
84.5,5.48,5.24
85,5.47,5.23
85.5,5.45,5.23
86,5.44,5.23
86.5,5.43,5.22
87,5.41,5.22
87.5,5.40,5.22
88,5.39,5.21
88.5,5.38,5.21
89,5.36,5.21
89.5,5.35,5.20
90,5.34,5.20
90.5,5.34,5.21
91,5.34,5.22
91.5,5.34,5.24
92,5.34,5.25
93,5.34,5.27
93.5,5.34,5.28
94,5.34,5.30
94.5,5.34,5.31
95,5.34,5.32
95.5,5.34,5.33
96,5.34,5.34
96.5,5.34,5.36
97,5.34,5.37
97.5,5.34,5.38
98,5.34,5.39
98.5,5.33,5.40
99,5.33,5.42
99.5,5.33,5.43
