Score,White (Good),Black (Good),Hispanic (Good),Asian (Good)
0.0,100.0,100.0,100.0,100.0
0.5,100.0,99.98,99.98,100.0
1.0,99.97,99.63,99.94,99.94
1.5,99.96,99.55,99.94,99.94
2.0,99.94,99.44,99.9,99.91
2.5,99.92,99.33,99.84,99.91
3.0,99.89,99.07,99.78,99.9
3.5,99.86,98.93,99.62,99.89
4.0,99.83,98.85,99.57,99.86
4.5,99.82,98.81,99.52,99.85
5.0,99.75,98.52,99.43,99.82
5.5,99.69,98.18,99.29,99.78
6.0,99.63,97.94,99.18,99.7
6.5,99.61,97.81,99.12,99.65
7.0,99.53,97.54,98.96,99.6
7.5,99.51,97.32,98.9,99.57
8.0,99.44,97.12,98.75,99.52
8.5,99.42,97.04,98.58,99.52
9.0,99.38,96.89,98.48,99.47
9.5,99.34,96.75,98.42,99.41
10.0,99.27,96.45,98.35,99.39
10.5,99.22,96.24,98.24,99.38
11.0,99.15,95.97,98.09,99.31
11.5,99.1,95.77,98.0,99.28
12.0,99.0,95.3,97.8,99.22
12.5,98.92,94.92,97.65,99.14
13.0,98.82,94.57,97.37,99.03
13.5,98.75,94.19,97.27,98.97
14.0,98.63,93.49,97.03,98.93
14.5,98.57,93.05,96.89,98.85
15.0,98.45,92.69,96.61,98.77
15.5,98.36,92.33,96.47,98.71
16.0,98.24,91.8,96.23,98.6
16.5,98.13,91.28999999999999,95.95,98.5
17.0,98.0,90.82,95.47,98.38
17.5,97.91,90.48,95.29,98.31
18.0,97.76,90.0,95.02,98.19
18.5,97.66,89.7,94.87,98.1
19.0,97.49,89.34,94.55,97.91
19.5,97.4,89.02,94.31,97.77
20.0,97.21,88.47,94.01,97.58
20.5,97.12,88.07,93.76,97.46
21.0,96.97,87.57,93.22,97.38
21.5,96.86,87.27,93.03,97.3
22.0,96.68,86.68,92.67,97.07
22.5,96.54,86.27,92.37,96.92
23.0,96.37,85.59,92.02,96.71
23.5,96.22,85.17,91.58,96.61
24.0,95.94,84.32,91.1,96.26
24.5,95.76,83.9,90.55,96.13
25.0,95.5,83.19,89.99,96.0
25.5,95.33,82.45,89.61,95.79
26.0,95.1,81.65,89.01,95.64
26.5,94.87,81.03999999999999,88.63,95.38
27.0,94.51,80.15,87.77,95.04
27.5,94.32,79.28999999999999,87.25,94.83
28.0,93.95,78.35,86.28999999999999,94.44
28.5,93.72,77.78,85.65,94.15
29.0,93.21,76.61,84.68,93.74
29.5,92.92,75.98,84.16,93.59
30.0,92.54,74.93,83.46000000000001,93.06
30.5,92.3,74.31,83.03,92.75
31.0,91.81,73.24,82.02,92.13
31.5,91.55,72.77,81.53,91.9
32.0,91.14,71.96000000000001,80.72,91.56
32.5,90.81,71.32,79.87,91.07
33.0,90.37,70.4,79.22,90.69
33.5,90.0,69.57,78.52,90.39
34.0,89.53999999999999,68.63,77.85,89.88
34.5,89.08,67.9,77.12,89.53999999999999
35.0,88.45,66.53999999999999,76.06,88.81
35.5,88.23,66.14,75.62,88.5
36.0,87.52,65.03,74.61,87.82
36.5,87.19,64.61,74.08,87.46000000000001
37.0,86.43,63.17,72.78,86.57
37.5,86.12,62.55,72.34,86.35
38.0,85.38,61.08,71.06,85.55
38.5,85.08,60.5,70.67,85.28999999999999
39.0,84.47,59.51,69.63,84.32
39.5,84.25,59.06,69.25,84.07
40.0,83.73,58.3,68.63,83.52
40.5,83.32,57.56,68.06,83.03999999999999
41.0,82.74,56.48,67.09,82.31
41.5,82.47,56.03,66.59,81.93
42.0,81.81,54.89,65.50999999999999,81.19
42.5,81.43,54.02,64.97,80.78
43.0,80.81,52.98,63.99,80.15
43.5,80.38,52.38,63.36,79.6
44.0,79.68,51.17,62.28,78.69
44.5,79.05,50.39,61.47,78.09
45.0,78.52,49.52,60.65,77.46000000000001
45.5,77.94,48.58,59.84,76.81
46.0,77.31,47.73,58.99,76.09
46.5,76.89,47.21,58.5,75.42
47.0,76.0,46.12,57.37,74.38
47.5,75.62,45.6,56.9,73.82
48.0,74.67,44.59,55.91,72.88
48.5,74.21000000000001,44.06,55.45,72.39
49.0,73.68,43.47,54.75,71.84
49.5,73.11,42.82,54.01,71.22
50.0,72.39,41.78,53.06,70.37
50.5,72.03999999999999,41.33,52.58,69.9
51.0,71.34,40.56,51.69,68.93
51.5,70.82,40.08,51.0,68.36
52.0,70.12,39.5,50.08,67.33
52.5,69.62,38.91,49.38,66.55
53.0,68.93,38.19,48.48,65.57
53.5,68.33,37.38,47.81,64.67
54.0,67.57,36.64,46.89,63.56
54.5,67.19,36.26,46.44,62.87
55.0,66.36,35.33,45.46,61.69
55.5,65.9,34.69,44.86,61.18
56.0,65.16,34.05,43.85,60.29
56.5,64.7,33.55,43.21,59.54
57.0,63.93,33.0,42.2,58.56
57.5,63.48,32.68000000000001,41.74,57.94
58.0,62.69,32.120000000000005,40.77,57.09
58.5,62.16,31.680000000000007,40.1,56.35
59.0,61.38,30.930000000000007,39.25,55.39
59.5,60.81,30.480000000000004,38.67,54.75
60.0,59.94,29.67,37.76,53.59
60.5,59.53,29.319999999999993,37.25,52.95
61.0,58.86,28.689999999999998,36.65,52.37
61.5,58.21,28.17,36.01,51.61
62.0,57.56,27.629999999999995,35.290000000000006,50.81
62.5,56.85,27.08,34.629999999999995,49.63
63.0,56.16,26.549999999999997,34.18000000000001,48.87
63.5,55.42,25.980000000000004,33.510000000000005,47.99
64.0,54.65,25.5,32.69,47.14
64.5,54.28,25.180000000000007,32.269999999999996,46.78
65.0,53.51,24.75,31.599999999999994,45.85
65.5,53.03,24.459999999999994,31.299999999999997,45.27
66.0,52.27,23.97,30.709999999999994,44.44
66.5,51.84,23.700000000000003,30.129999999999995,43.76
67.0,51.41,23.5,29.769999999999996,43.44
67.5,50.51,22.689999999999998,28.900000000000006,42.21
68.0,50.21,22.439999999999998,28.590000000000003,41.9
68.5,49.8,22.200000000000003,28.22,41.45
69.0,48.86,21.659999999999997,27.450000000000003,40.48
69.5,48.27,21.370000000000005,26.97,39.87
70.0,47.71,21.040000000000006,26.510000000000005,39.21
70.5,47.13,20.58,26.060000000000002,38.71
71.0,46.65,20.319999999999993,25.650000000000006,38.18
71.5,46.24,20.0,25.290000000000006,37.78
72.0,45.24,19.450000000000003,24.519999999999996,36.74
73.0,44.09,18.67,23.739999999999995,35.47
73.5,43.58,18.430000000000007,23.439999999999998,35.11
74.0,43.01,18.03,23.08,34.540000000000006
74.5,42.1,17.549999999999997,22.450000000000003,33.86
75.0,41.3,17.019999999999996,21.810000000000002,33.28
75.5,40.66,16.67,21.349999999999994,32.59
76.0,40.07,16.349999999999994,20.97,32.06
76.5,39.33,15.819999999999993,20.439999999999998,31.379999999999995
77.0,37.87,14.969999999999999,19.230000000000004,29.569999999999993
78.0,36.49,14.370000000000005,18.36,28.459999999999994
78.5,35.91,14.180000000000007,18.049999999999997,27.97
79.0,35.06999999999999,13.780000000000001,17.569999999999993,27.42
79.5,34.47,13.5,17.099999999999994,26.83
80.0,33.730000000000004,12.959999999999994,16.590000000000003,26.129999999999995
80.5,32.93000000000001,12.349999999999994,16.08,25.5
81.0,31.459999999999994,11.75,15.25,24.28
81.5,30.790000000000006,11.5,14.829999999999998,23.650000000000006
82.0,30.150000000000006,11.200000000000003,14.480000000000004,23.090000000000003
82.5,29.439999999999998,10.810000000000002,14.060000000000002,22.39
83.0,28.72,10.430000000000007,13.659999999999997,21.83
83.5,27.760000000000005,9.959999999999994,13.189999999999998,21.180000000000007
84.0,26.58,9.469999999999999,12.439999999999998,20.159999999999997
84.5,25.930000000000007,9.14,12.019999999999996,19.75
85.0,25.269999999999996,8.769999999999996,11.709999999999994,19.239999999999995
85.5,23.930000000000007,8.150000000000006,10.950000000000003,18.299999999999997
86.0,23.14,7.829999999999998,10.620000000000005,17.819999999999993
86.5,22.209999999999994,7.409999999999997,9.989999999999995,17.010000000000005
87.0,21.650000000000006,7.1200000000000045,9.769999999999996,16.590000000000003
87.5,20.53,6.670000000000002,9.209999999999994,15.760000000000005
88.0,19.97,6.5,8.930000000000007,15.290000000000006
88.5,18.86,6.1299999999999955,8.450000000000003,14.450000000000003
89.0,18.239999999999995,5.939999999999998,8.219999999999999,13.879999999999995
89.5,16.939999999999998,5.530000000000001,7.659999999999997,12.969999999999999
90.0,16.260000000000005,5.329999999999998,7.349999999999994,12.489999999999995
90.5,15.599999999999994,5.219999999999999,6.989999999999995,11.950000000000003
91.0,15.189999999999998,5.099999999999994,6.840000000000003,11.560000000000002
91.5,14.530000000000001,4.909999999999997,6.569999999999993,11.040000000000006
92.0,13.560000000000002,4.510000000000005,6.099999999999994,10.370000000000005
93.0,12.180000000000007,3.980000000000004,5.469999999999999,9.349999999999994
93.5,11.019999999999996,3.5999999999999943,4.8799999999999955,8.670000000000002
94.0,10.079999999999998,3.2099999999999937,4.519999999999996,8.060000000000002
94.5,8.590000000000003,2.780000000000001,3.8700000000000045,7.079999999999998
95.0,7.3799999999999955,2.480000000000004,3.3599999999999994,6.239999999999995
95.5,6.909999999999997,2.3599999999999994,3.1099999999999994,5.900000000000006
96.0,5.689999999999998,1.9500000000000028,2.530000000000001,4.8700000000000045
96.5,5.329999999999998,1.8199999999999932,2.3900000000000006,4.579999999999998
97.0,4.409999999999997,1.5400000000000063,2.0,3.739999999999995
97.5,3.180000000000007,1.0799999999999983,1.4500000000000028,2.75
98.0,1.4699999999999989,0.37999999999999545,0.6500000000000057,1.4200000000000017
98.5,0.5400000000000063,0.14000000000000057,0.23999999999999488,0.5300000000000011
99.0,0.12999999999999545,0.04999999999999716,0.04999999999999716,0.15000000000000568
99.5,0.030000000000001137,0.0,0.0,0.0799999999999983
100.0,0.0,0.0,0.0,0.0
