TransRisk Score,white,black,hispanic,asian
0.0,0.9998999999999998,0.9993,0.9999000000000001,1.0
0.5,0.9998999999999998,0.9993,0.9999000000000001,1.0
1.0,0.9973999999999998,0.9881,0.9953000000000001,0.9987
1.5,0.9883999999999998,0.9467,0.9778000000000001,0.9912000000000001
2.0,0.9856999999999998,0.9353,0.9726000000000001,0.9893000000000001
2.5,0.9819999999999998,0.9211,0.9651000000000002,0.9868000000000001
3.0,0.9790999999999997,0.9073,0.9596000000000002,0.9849000000000001
3.5,0.9744999999999997,0.888,0.9498000000000002,0.9817000000000001
4.0,0.9703999999999997,0.8718,0.9423000000000002,0.9780000000000001
4.5,0.9660999999999997,0.8542000000000001,0.9340000000000003,0.9752000000000001
5.0,0.9645999999999998,0.8484,0.9308000000000003,0.9742000000000001
5.5,0.9580999999999998,0.8228000000000001,0.9178000000000003,0.9690000000000001
6.0,0.9527999999999999,0.8019000000000001,0.9069000000000003,0.9651000000000001
6.5,0.9471999999999998,0.7828,0.8982000000000002,0.9610000000000001
7.0,0.9443999999999998,0.7707,0.8920000000000002,0.9592
7.5,0.9388999999999997,0.7531,0.8806000000000003,0.9560000000000001
8.0,0.9365999999999998,0.7449,0.8762000000000003,0.9528000000000001
8.5,0.9318999999999997,0.7305,0.8682000000000003,0.9498000000000001
9.0,0.9297999999999997,0.7245,0.8640000000000003,0.9486000000000001
9.5,0.9265999999999998,0.7141000000000001,0.8591000000000003,0.9462000000000002
10.0,0.9239999999999997,0.7062,0.8535000000000003,0.9447000000000001
10.5,0.9204999999999997,0.6955,0.8480000000000003,0.9426000000000001
11.0,0.9179999999999997,0.6884,0.8431000000000003,0.9416000000000001
11.5,0.9137999999999997,0.6771,0.8362000000000003,0.9375000000000001
12.0,0.9105999999999997,0.6667000000000001,0.8308000000000002,0.9354000000000001
12.5,0.9043999999999998,0.6489,0.8197000000000002,0.9305000000000001
13.0,0.9007999999999997,0.6393,0.8142000000000003,0.9271000000000001
13.5,0.8959999999999997,0.628,0.8064000000000002,0.9239000000000002
14.0,0.8923999999999996,0.6179,0.8005000000000002,0.9203000000000001
14.5,0.8858999999999997,0.6021,0.7890000000000001,0.9160000000000001
15.0,0.8824999999999997,0.5924999999999999,0.7824000000000001,0.9132000000000001
15.5,0.8770999999999998,0.5792999999999999,0.7738000000000002,0.9091000000000001
16.0,0.8738999999999998,0.5709,0.7679000000000001,0.9055000000000001
16.5,0.8690999999999998,0.5596,0.7598000000000001,0.9025000000000001
17.0,0.8656999999999998,0.5511999999999999,0.7531000000000001,0.8995000000000001
17.5,0.8615999999999998,0.5417,0.7451000000000001,0.8968
18.0,0.8586999999999998,0.5342,0.7403000000000001,0.8947
18.5,0.8543999999999998,0.526,0.7338,0.8904000000000001
19.0,0.8515999999999998,0.5193,0.729,0.8889000000000001
19.5,0.8475999999999998,0.5124,0.7222,0.8849000000000001
20.0,0.8449999999999998,0.5071,0.7179,0.8820000000000001
20.5,0.8345999999999998,0.46950000000000003,0.6969,0.8763000000000001
21.0,0.8311999999999998,0.4596,0.6907,0.8732000000000001
21.5,0.8262999999999998,0.4476,0.6809999999999999,0.8698000000000001
22.0,0.8235999999999998,0.44100000000000006,0.6769,0.8676000000000001
22.5,0.8192999999999998,0.43240000000000006,0.6698999999999999,0.8640000000000001
23.0,0.8161999999999998,0.42630000000000007,0.6645,0.8610000000000001
23.5,0.8122999999999998,0.41800000000000004,0.6576,0.8581000000000001
24.0,0.8086999999999998,0.4114000000000001,0.6494,0.8559000000000001
24.5,0.8026999999999997,0.4000000000000001,0.6381,0.8505000000000001
25.0,0.7990999999999997,0.3938000000000001,0.632,0.8480000000000002
25.5,0.7945999999999998,0.38550000000000006,0.6232,0.8449000000000002
26.0,0.7915999999999997,0.3792000000000001,0.6183,0.8428000000000002
26.5,0.7872999999999998,0.3707000000000001,0.6104999999999999,0.8382000000000003
27.0,0.7832999999999998,0.3646000000000001,0.6034999999999999,0.8338000000000003
