TransRisk Score,Demographic,Good,Bad
0.0,white,0.0,0.17
0.5,white,0.03,1.85
1.0,white,0.22,7.26
1.5,white,0.26,8.85
2.0,white,0.35,10.58
2.5,white,0.44,12.24
3.0,white,0.59,14.11
3.5,white,0.69,15.85
4.0,white,0.8,17.27
4.5,white,0.84,17.81
5.0,white,1.02,20.66
5.5,white,1.21,22.95
6.0,white,1.38,25.16
6.5,white,1.49,26.23
7.0,white,1.67,28.22
7.5,white,1.76,29.18
8.0,white,1.92,31.19
8.5,white,2.01,31.83
9.0,white,2.14,32.74
9.5,white,2.23,33.68
10.0,white,2.38,34.78
10.5,white,2.49,35.55
11.0,white,2.64,36.6
11.5,white,2.8,38.2
12.0,white,3.14,40.43
12.5,white,3.37,41.59
13.0,white,3.7,42.98
13.5,white,3.89,44.31
14.0,white,4.23,46.62
14.5,white,4.41,47.94
15.0,white,4.71,49.45
15.5,white,4.91,50.18
16.0,white,5.21,51.65
16.5,white,5.48,52.49
17.0,white,5.78,53.29
17.5,white,5.99,53.97
18.0,white,6.29,54.97
18.5,white,6.54,55.49
19.0,white,6.86,56.24
19.5,white,7.09,56.72
20.0,white,7.47,58.76
20.5,white,7.68,59.46
21.0,white,7.97,60.63
21.5,white,8.18,61.14
22.0,white,8.49,61.91
22.5,white,8.73,62.29
23.0,white,9.08,63.13
23.5,white,9.37,64.29
24.0,white,9.93,65.78
24.5,white,10.28,66.57
25.0,white,10.73,67.77
25.5,white,11.05,68.57
26.0,white,11.5,69.43
26.5,white,11.91,70.32
27.0,white,12.58,71.43
27.5,white,12.92,72.19
28.0,white,13.62,73.12
28.5,white,14.02,73.86
29.0,white,14.8,74.85
29.5,white,15.28,75.48
30.0,white,15.9,76.45
30.5,white,16.32,76.93
31.0,white,17.04,77.89
31.5,white,17.5,78.3
32.0,white,18.12,78.95
32.5,white,18.68,79.51
33.0,white,19.34,80.33
33.5,white,19.79,80.8
34.0,white,20.52,81.61
34.5,white,21.1,82.29
35.0,white,22.04,82.88
35.5,white,22.33,83.25
36.0,white,23.31,83.96
36.5,white,23.68,84.25
37.0,white,24.79,84.85
37.5,white,25.22,85.28
38.0,white,26.29,85.89
38.5,white,26.69,86.04
39.0,white,27.55,86.91
39.5,white,27.85,87.12
40.0,white,28.52,87.55
40.5,white,29.08,88.0
41.0,white,29.85,88.38
41.5,white,30.22,88.53
42.0,white,31.12,89.06
42.5,white,31.65,89.55
43.0,white,32.51,90.01
43.5,white,33.09,90.24
44.0,white,34.02,90.67
44.5,white,34.8,91.23
45.0,white,35.47,91.56
45.5,white,36.19,91.72
46.0,white,36.96,92.09
46.5,white,37.46,92.35
47.0,white,38.47,92.62
47.5,white,38.94,92.72
48.0,white,39.9,93.07
48.5,white,40.39,93.22
49.0,white,40.97,93.42
49.5,white,41.59,93.58
50.0,white,42.37,93.74
50.5,white,42.8,93.77
51.0,white,43.59,94.02
51.5,white,44.25,94.23
52.0,white,45.09,94.49
52.5,white,45.67,94.54
53.0,white,46.48,94.75
53.5,white,47.21,94.98
54.0,white,48.1,95.34
54.5,white,48.58,95.49
55.0,white,49.59,95.69
55.5,white,50.08,95.91
56.0,white,50.82,96.02
56.5,white,51.37,96.12
57.0,white,52.23,96.3
57.5,white,52.71,96.41
58.0,white,53.61,96.55
58.5,white,54.22,96.6
59.0,white,55.06,96.78
59.5,white,55.64,96.8
60.0,white,56.51,96.9
60.5,white,56.94,96.97
61.0,white,57.63,97.11
61.5,white,58.29,97.23
62.0,white,58.95,97.29
62.5,white,59.65,97.43
63.0,white,60.26,97.53
63.5,white,61.0,97.62
64.0,white,61.81,97.76
64.5,white,62.15,97.81
65.0,white,62.88,97.9
65.5,white,63.33,97.95
66.0,white,64.09,97.97
66.5,white,64.49,98.01
67.0,white,64.9,98.03
67.5,white,65.74,98.15
68.0,white,66.02,98.15
68.5,white,66.45,98.17
69.0,white,67.29,98.3
69.5,white,67.9,98.32
70.0,white,68.36,98.32
70.5,white,68.86,98.34
71.0,white,69.29,98.42
71.5,white,69.72,98.43
72.0,white,70.63,98.45
73.0,white,71.58,98.5
73.5,white,72.02,98.61
74.0,white,72.49,98.61
74.5,white,73.11,98.66
75.0,white,73.55,98.77
75.5,white,74.05,98.82
76.0,white,74.55,98.89
76.5,white,75.23,98.92
77.0,white,76.3,99.0
78.0,white,77.33,99.08
78.5,white,77.76,99.08
79.0,white,78.35,99.08
79.5,white,78.78,99.11
80.0,white,79.35,99.16
80.5,white,79.89,99.21
81.0,white,80.99,99.25
81.5,white,81.48,99.28
82.0,white,81.95,99.28
82.5,white,82.48,99.3
83.0,white,83.04,99.3
83.5,white,83.64,99.32
84.0,white,84.57,99.37
84.5,white,85.05,99.37
85.0,white,85.58,99.4
85.5,white,86.52,99.42
86.0,white,87.05,99.42
86.5,white,87.79,99.44
87.0,white,88.24,99.55
87.5,white,89.11,99.57
88.0,white,89.5,99.57
88.5,white,90.3,99.62
89.0,white,90.74,99.65
89.5,white,91.57,99.67
90.0,white,92.01,99.67
90.5,white,92.42,99.69
91.0,white,92.67,99.72
91.5,white,93.15,99.72
92.0,white,93.77,99.77
93.0,white,94.51,99.77
93.5,white,95.02,99.77
94.0,white,95.37,99.78
94.5,white,95.89,99.8
95.0,white,96.43,99.82
95.5,white,96.66,99.82
96.0,white,97.24,99.87
96.5,white,97.4,99.87
97.0,white,97.87,99.9
97.5,white,98.43,99.9
98.0,white,99.25,99.97
98.5,white,99.71,100.0
99.0,white,99.94,100.0
99.5,white,99.99,100.0
100.0,white,100.0,100.0
0.0,black,0.02,0.11
0.5,black,0.1,2.17
1.0,black,0.74,8.75
1.5,black,0.87,10.75
2.0,black,1.06,13.25
2.5,black,1.33,15.33
3.0,black,1.71,17.72
3.5,black,2.02,19.88
4.0,black,2.31,22.02
4.5,black,2.47,22.71
5.0,black,3.03,27.04
5.5,black,3.6,29.67
6.0,black,3.99,32.9
6.5,black,4.19,34.26
7.0,black,4.51,36.2
7.5,black,4.7,37.43
8.0,black,5.11,39.53
8.5,black,5.24,40.3
9.0,black,5.53,41.48
9.5,black,5.79,42.51
10.0,black,6.18,43.91
10.5,black,6.45,44.6
11.0,black,6.79,45.84
11.5,black,7.19,47.25
12.0,black,7.91,49.89
12.5,black,8.3,51.04
13.0,black,9.02,52.48
13.5,black,9.47,53.61
14.0,black,10.13,55.56
14.5,black,10.63,56.25
15.0,black,11.31,57.62
15.5,black,11.65,58.41
16.0,black,12.22,59.44
16.5,black,12.64,60.07
17.0,black,13.18,61.09
17.5,black,13.63,62.23
18.0,black,14.16,63.1
18.5,black,14.65,63.5
19.0,black,15.19,64.08
19.5,black,15.65,64.32
20.0,black,16.42,67.02
20.5,black,16.81,67.8
21.0,black,17.34,68.98
21.5,black,17.68,69.66
22.0,black,18.21,70.56
22.5,black,18.62,71.66
23.0,black,19.35,72.8
23.5,black,19.9,73.71
24.0,black,20.82,74.46
24.5,black,21.38,75.0
25.0,black,22.04,75.98
25.5,black,22.64,76.41
26.0,black,23.36,77.53
26.5,black,24.01,78.2
27.0,black,25.09,79.5
27.5,black,25.77,80.48
28.0,black,26.87,81.27
28.5,black,27.5,81.71
29.0,black,28.54,82.74
29.5,black,29.14,83.07
30.0,black,30.02,83.79
30.5,black,30.61,84.12
31.0,black,31.62,85.06
31.5,black,32.11,85.83
32.0,black,32.85,86.46
32.5,black,33.6,86.93
33.0,black,34.31,87.39
33.5,black,34.93,87.92
34.0,black,35.77,88.54
34.5,black,36.57,88.81
35.0,black,37.72,89.26
35.5,black,38.14,89.67
36.0,black,39.3,90.44
36.5,black,39.8,90.57
37.0,black,41.02,91.28
37.5,black,41.47,91.41
38.0,black,42.78,91.79
38.5,black,43.22,91.98
39.0,black,44.11,92.21
39.5,black,44.56,92.34
40.0,black,45.38,92.53
40.5,black,46.13,92.83
41.0,black,47.0,92.97
41.5,black,47.37,93.17
42.0,black,48.36,93.63
42.5,black,48.94,93.86
43.0,black,49.96,94.01
43.5,black,50.55,94.1
44.0,black,51.55,94.36
44.5,black,52.29,94.45
45.0,black,52.96,94.74
45.5,black,53.73,95.0
46.0,black,54.51,95.11
46.5,black,55.04,95.2
47.0,black,56.29,95.61
47.5,black,56.73,95.64
48.0,black,57.54,96.11
48.5,black,58.06,96.12
49.0,black,58.59,96.31
49.5,black,59.2,96.35
50.0,black,59.9,96.48
50.5,black,60.25,96.54
51.0,black,61.01,96.65
51.5,black,61.59,96.73
52.0,black,62.32,96.83
52.5,black,62.86,96.91
53.0,black,63.55,97.06
53.5,black,64.27,97.15
54.0,black,65.01,97.4
54.5,black,65.42,97.44
55.0,black,66.2,97.69
55.5,black,66.59,97.72
56.0,black,67.23,97.77
56.5,black,67.76,97.78
57.0,black,68.46,97.82
57.5,black,68.83,97.84
