,Score,Black (Good)
0,0.0,0.02
1,0.5,0.1
2,1.0,0.74
3,1.5,0.87
4,2.0,1.06
5,2.5,1.33
6,3.0,1.71
7,3.5,2.02
8,4.0,2.31
9,4.5,2.47
10,5.0,3.03
11,5.5,3.6
12,6.0,3.99
13,6.5,4.19
14,7.0,4.51
15,7.5,4.7
16,8.0,5.11
17,8.5,5.24
18,9.0,5.53
19,9.5,5.79
20,10.0,6.18
21,10.5,6.45
22,11.0,6.79
23,11.5,7.19
24,12.0,7.91
25,12.5,8.3
26,13.0,9.02
27,13.5,9.47
28,14.0,10.13
29,14.5,10.63
30,15.0,11.31
31,15.5,11.65
32,16.0,12.22
33,16.5,12.64
34,17.0,13.18
35,17.5,13.63
36,18.0,14.16
37,18.5,14.65
38,19.0,15.19
39,19.5,15.65
40,20.0,16.42
41,20.5,16.81
42,21.0,17.34
43,21.5,17.68
44,22.0,18.21
45,22.5,18.62
46,23.0,19.35
47,23.5,19.9
48,24.0,20.82
49,24.5,21.38
50,25.0,22.04
51,25.5,22.64
52,26.0,23.36
53,26.5,24.01
54,27.0,25.09
55,27.5,25.77
56,28.0,26.87
57,28.5,27.5
58,29.0,28.54
59,29.5,29.14
60,30.0,30.02
61,30.5,30.61
62,31.0,31.62
63,31.5,32.11
64,32.0,32.85
65,32.5,33.6
66,33.0,34.31
67,33.5,34.93
68,34.0,35.77
69,34.5,36.57
70,35.0,37.72
71,35.5,38.14
72,36.0,39.3
73,36.5,39.8
74,37.0,41.02
75,37.5,41.47
76,38.0,42.78
77,38.5,43.22
78,39.0,44.11
79,39.5,44.56
80,40.0,45.38
81,40.5,46.13
82,41.0,47.0
83,41.5,47.37
84,42.0,48.36
85,42.5,48.94
86,43.0,49.96
87,43.5,50.55
88,44.0,51.55
89,44.5,52.29
90,45.0,52.96
91,45.5,53.73
92,46.0,54.51
93,46.5,55.04
94,47.0,56.29
95,47.5,56.73
96,48.0,57.54
97,48.5,58.06
98,49.0,58.59
99,49.5,59.2
100,50.0,59.9
101,50.5,60.25
102,51.0,61.01
103,51.5,61.59
104,52.0,62.32
105,52.5,62.86
106,53.0,63.55
107,53.5,64.27
108,54.0,65.01
109,54.5,65.42
110,55.0,66.2
111,55.5,66.59
112,56.0,67.23
113,56.5,67.76
114,57.0,68.46
115,57.5,68.83
116,58.0,69.46
117,58.5,69.93
118,59.0,70.62
119,59.5,71.11
120,60.0,71.84
121,60.5,72.16
122,61.0,72.62
123,61.5,73.2
124,62.0,73.87
125,62.5,74.59
126,63.0,75.12
127,63.5,75.65
128,64.0,76.24
129,64.5,76.52
130,65.0,77.08
131,65.5,77.33
132,66.0,77.83
133,66.5,78.15
134,67.0,78.42
135,67.5,79.18
136,68.0,79.4
137,68.5,79.65
138,69.0,80.19
139,69.5,80.6
140,70.0,80.94
141,70.5,81.32
142,71.0,81.62
143,71.5,81.91
144,72.0,82.44
145,73.0,83.17
146,73.5,83.49
147,74.0,83.89
148,74.5,84.35
149,75.0,84.64
150,75.5,84.97
151,76.0,85.29
152,76.5,85.66
153,77.0,86.36
154,78.0,86.99
155,78.5,87.19
156,79.0,87.57
157,79.5,87.86
158,80.0,88.19
159,80.5,88.49
160,81.0,89.26
161,81.5,89.53
162,82.0,89.77
163,82.5,90.08
164,83.0,90.4
165,83.5,90.72
166,84.0,91.25
167,84.5,91.54
168,85.0,91.85
169,85.5,92.45
170,86.0,92.75
171,86.5,93.24
172,87.0,93.45
173,87.5,93.92
174,88.0,94.16
175,88.5,94.64
176,89.0,94.83
177,89.5,95.36
178,90.0,95.63
179,90.5,95.81
180,91.0,95.93
181,91.5,96.19
182,92.0,96.48
183,93.0,96.83
184,93.5,97.17
185,94.0,97.43
186,94.5,97.76
187,95.0,98.05
188,95.5,98.19
189,96.0,98.54
190,96.5,98.6
191,97.0,98.84
192,97.5,99.24
193,98.0,99.7
194,98.5,99.87
195,99.0,99.98
196,99.5,99.99
197,100.0,100.0
