,Score,Hispanic (Bad)
0,0.0,0.08
1,0.5,1.88
2,1.0,7.85
3,1.5,9.4
4,2.0,11.85
5,2.5,13.54
6,3.0,16.31
7,3.5,17.9
8,4.0,19.88
9,4.5,20.65
10,5.0,24.28
11,5.5,26.75
12,6.0,29.15
13,6.5,30.0
14,7.0,31.51
15,7.5,32.53
16,8.0,34.23
17,8.5,34.92
18,9.0,35.65
19,9.5,36.58
20,10.0,37.75
21,10.5,38.51
22,11.0,39.47
23,11.5,40.96
24,12.0,43.43
25,12.5,44.57
26,13.0,45.58
27,13.5,47.36
28,14.0,49.73
29,14.5,51.04
30,15.0,52.21
31,15.5,52.94
32,16.0,53.91
33,16.5,54.93
34,17.0,55.93
35,17.5,56.8
36,18.0,57.65
37,18.5,58.09
38,19.0,58.69
39,19.5,59.18
40,20.0,61.72
41,20.5,62.42
42,21.0,63.58
43,21.5,64.7
44,22.0,65.59
45,22.5,66.35
46,23.0,66.92
47,23.5,67.72
48,24.0,69.03
49,24.5,69.52
50,25.0,70.73
51,25.5,71.54
52,26.0,72.25
53,26.5,73.38
54,27.0,74.39
55,27.5,75.15
56,28.0,76.06
57,28.5,76.77
58,29.0,78.23
59,29.5,78.67
60,30.0,79.29
61,30.5,79.66
62,31.0,80.48
63,31.5,80.97
64,32.0,81.73
65,32.5,82.15
66,33.0,82.61
67,33.5,83.37
68,34.0,84.27
69,34.5,84.79
70,35.0,85.48
71,35.5,85.59
72,36.0,86.24
73,36.5,86.41
74,37.0,87.19
75,37.5,87.47
76,38.0,88.14
77,38.5,88.33
78,39.0,88.97
79,39.5,89.07
80,40.0,89.57
81,40.5,89.64
82,41.0,90.41
83,41.5,90.54
84,42.0,90.83
85,42.5,91.32
86,43.0,91.48
87,43.5,91.63
88,44.0,92.0
89,44.5,92.43
90,45.0,92.74
91,45.5,92.93
92,46.0,93.34
93,46.5,93.69
94,47.0,94.26
95,47.5,94.37
96,48.0,94.77
97,48.5,94.84
98,49.0,94.94
99,49.5,95.02
100,50.0,95.28
101,50.5,95.29
102,51.0,95.38
103,51.5,95.42
104,52.0,95.72
105,52.5,95.73
106,53.0,95.88
107,53.5,96.01
108,54.0,96.13
109,54.5,96.22
110,55.0,96.57
111,55.5,96.79
112,56.0,96.83
113,56.5,96.87
114,57.0,96.96
115,57.5,97.04
116,58.0,97.3
117,58.5,97.35
118,59.0,97.56
119,59.5,97.64
120,60.0,97.81
121,60.5,97.83
122,61.0,97.94
123,61.5,97.97
124,62.0,97.98
125,62.5,98.08
126,63.0,98.12
127,63.5,98.31
128,64.0,98.67
129,64.5,98.67
130,65.0,98.69
131,65.5,98.69
132,66.0,98.69
133,66.5,98.72
134,67.0,98.75
135,67.5,98.91
136,68.0,98.91
137,68.5,98.92
138,69.0,98.93
139,69.5,99.09
140,70.0,99.09
141,70.5,99.09
142,71.0,99.12
143,71.5,99.22
144,72.0,99.29
145,73.0,99.32
146,73.5,99.33
147,74.0,99.33
148,74.5,99.39
149,75.0,99.4
150,75.5,99.41
151,76.0,99.54
152,76.5,99.54
153,77.0,99.72
154,78.0,99.74
155,78.5,99.74
156,79.0,99.74
157,79.5,99.74
158,80.0,99.75
159,80.5,99.76
160,81.0,99.77
161,81.5,99.78
162,82.0,99.78
163,82.5,99.78
164,83.0,99.78
165,83.5,99.79
166,84.0,99.81
167,84.5,99.81
168,85.0,99.81
169,85.5,99.83
170,86.0,99.83
171,86.5,99.83
172,87.0,99.86
173,87.5,99.86
174,88.0,99.86
175,88.5,99.86
176,89.0,99.87
177,89.5,99.87
178,90.0,99.87
179,90.5,99.89
180,91.0,99.9
181,91.5,99.9
182,92.0,99.91
183,93.0,99.91
184,93.5,99.91
185,94.0,99.91
186,94.5,99.92
187,95.0,99.94
188,95.5,99.94
189,96.0,99.99
190,96.5,99.99
191,97.0,99.99
192,97.5,99.99
193,98.0,100.0
194,98.5,100.0
195,99.0,100.0
196,99.5,100.0
197,100.0,100.0
