,Score,Hispanic (Good)
0,0.0,0.0
1,0.5,0.04
2,1.0,0.45
3,1.5,0.51
4,2.0,0.66
5,2.5,0.83
6,3.0,1.09
7,3.5,1.28
8,4.0,1.51
9,4.5,1.6
10,5.0,1.87
11,5.5,2.15
12,6.0,2.38
13,6.5,2.52
14,7.0,2.82
15,7.5,2.97
16,8.0,3.18
17,8.5,3.38
18,9.0,3.57
19,9.5,3.73
20,10.0,3.95
21,10.5,4.11
22,11.0,4.26
23,11.5,4.49
24,12.0,4.99
25,12.5,5.27
26,13.0,5.72
27,13.5,5.99
28,14.0,6.5
29,14.5,6.76
30,15.0,7.21
31,15.5,7.52
32,16.0,7.95
33,16.5,8.34
34,17.0,8.82
35,17.5,9.1
36,18.0,9.58
37,18.5,9.84
38,19.0,10.23
39,19.5,10.53
40,20.0,11.11
41,20.5,11.45
42,21.0,11.92
43,21.5,12.18
44,22.0,12.57
45,22.5,12.97
46,23.0,13.62
47,23.5,14.16
48,24.0,15.01
49,24.5,15.62
50,25.0,16.39
51,25.5,16.82
52,26.0,17.56
53,26.5,18.17
54,27.0,19.12
55,27.5,19.7
56,28.0,20.62
57,28.5,21.31
58,29.0,22.36
59,29.5,23.01
60,30.0,23.96
61,30.5,24.49
62,31.0,25.5
63,31.5,26.09
64,32.0,26.83
65,32.5,27.67
66,33.0,28.49
67,33.5,29.18
68,34.0,30.12
69,34.5,30.96
70,35.0,32.08
71,35.5,32.48
72,36.0,33.65
73,36.5,34.16
74,37.0,35.64
75,37.5,36.14
76,38.0,37.42
77,38.5,37.92
78,39.0,38.95
79,39.5,39.36
80,40.0,40.21
81,40.5,40.82
82,41.0,41.81
83,41.5,42.21
84,42.0,43.24
85,42.5,43.92
86,43.0,44.83
87,43.5,45.49
88,44.0,46.6
89,44.5,47.38
90,45.0,48.24
91,45.5,49.12
92,46.0,50.02
93,46.5,50.52
94,47.0,51.65
95,47.5,52.08
96,48.0,52.97
97,48.5,53.53
98,49.0,54.08
99,49.5,54.7
100,50.0,55.52
101,50.5,55.88
102,51.0,56.7
103,51.5,57.31
104,52.0,58.15
105,52.5,58.81
106,53.0,59.65
107,53.5,60.38
108,54.0,61.25
109,54.5,61.71
110,55.0,62.73
111,55.5,63.27
112,56.0,63.93
113,56.5,64.5
114,57.0,65.37
115,57.5,65.84
116,58.0,66.61
117,58.5,67.22
118,59.0,67.91
119,59.5,68.5
120,60.0,69.2
121,60.5,69.6
122,61.0,70.23
123,61.5,70.75
124,62.0,71.35
125,62.5,72.0
126,63.0,72.45
127,63.5,73.07
128,64.0,73.83
129,64.5,74.08
130,65.0,74.67
131,65.5,75.04
132,66.0,75.66
133,66.5,75.99
134,67.0,76.37
135,67.5,77.12
136,68.0,77.33
137,68.5,77.67
138,69.0,78.3
139,69.5,78.74
140,70.0,79.12
141,70.5,79.51
142,71.0,79.81
143,71.5,80.19
144,72.0,80.88
145,73.0,81.67
146,73.5,81.99
147,74.0,82.34
148,74.5,82.79
149,75.0,83.13
150,75.5,83.53
151,76.0,83.78
152,76.5,84.25
153,77.0,85.1
154,78.0,85.8
155,78.5,86.09
156,79.0,86.48
157,79.5,86.76
158,80.0,87.2
159,80.5,87.57
160,81.0,88.3
161,81.5,88.61
162,82.0,88.9
163,82.5,89.23
164,83.0,89.6
165,83.5,90.02
166,84.0,90.59
167,84.5,90.87
168,85.0,91.19
169,85.5,91.77
170,86.0,92.09
171,86.5,92.62
172,87.0,92.89
173,87.5,93.36
174,88.0,93.61
175,88.5,94.12
176,89.0,94.36
177,89.5,94.88
178,90.0,95.19
179,90.5,95.47
180,91.0,95.6
181,91.5,95.8
182,92.0,96.24
183,93.0,96.69
184,93.5,96.95
185,94.0,97.16
186,94.5,97.5
187,95.0,97.82
188,95.5,98.0
189,96.0,98.35
190,96.5,98.47
191,97.0,98.71
192,97.5,99.07
193,98.0,99.52
194,98.5,99.81
195,99.0,99.97
196,99.5,99.99
197,100.0,100.0
