,Score,Non- Hispanic white (Bad)
0,0.0,0.17
1,0.5,1.85
2,1.0,7.26
3,1.5,8.85
4,2.0,10.58
5,2.5,12.24
6,3.0,14.11
7,3.5,15.85
8,4.0,17.27
9,4.5,17.81
10,5.0,20.66
11,5.5,22.95
12,6.0,25.16
13,6.5,26.23
14,7.0,28.22
15,7.5,29.18
16,8.0,31.19
17,8.5,31.83
18,9.0,32.74
19,9.5,33.68
20,10.0,34.78
21,10.5,35.55
22,11.0,36.6
23,11.5,38.2
24,12.0,40.43
25,12.5,41.59
26,13.0,42.98
27,13.5,44.31
28,14.0,46.62
29,14.5,47.94
30,15.0,49.45
31,15.5,50.18
32,16.0,51.65
33,16.5,52.49
34,17.0,53.29
35,17.5,53.97
36,18.0,54.97
37,18.5,55.49
38,19.0,56.24
39,19.5,56.72
40,20.0,58.76
41,20.5,59.46
42,21.0,60.63
43,21.5,61.14
44,22.0,61.91
45,22.5,62.29
46,23.0,63.13
47,23.5,64.29
48,24.0,65.78
49,24.5,66.57
50,25.0,67.77
51,25.5,68.57
52,26.0,69.43
53,26.5,70.32
54,27.0,71.43
55,27.5,72.19
56,28.0,73.12
57,28.5,73.86
58,29.0,74.85
59,29.5,75.48
60,30.0,76.45
61,30.5,76.93
62,31.0,77.89
63,31.5,78.3
64,32.0,78.95
65,32.5,79.51
66,33.0,80.33
67,33.5,80.8
68,34.0,81.61
69,34.5,82.29
70,35.0,82.88
71,35.5,83.25
72,36.0,83.96
73,36.5,84.25
74,37.0,84.85
75,37.5,85.28
76,38.0,85.89
77,38.5,86.04
78,39.0,86.91
79,39.5,87.12
80,40.0,87.55
81,40.5,88.0
82,41.0,88.38
83,41.5,88.53
84,42.0,89.06
85,42.5,89.55
86,43.0,90.01
87,43.5,90.24
88,44.0,90.67
89,44.5,91.23
90,45.0,91.56
91,45.5,91.72
92,46.0,92.09
93,46.5,92.35
94,47.0,92.62
95,47.5,92.72
96,48.0,93.07
97,48.5,93.22
98,49.0,93.42
99,49.5,93.58
100,50.0,93.74
101,50.5,93.77
102,51.0,94.02
103,51.5,94.23
104,52.0,94.49
105,52.5,94.54
106,53.0,94.75
107,53.5,94.98
108,54.0,95.34
109,54.5,95.49
110,55.0,95.69
111,55.5,95.91
112,56.0,96.02
113,56.5,96.12
114,57.0,96.3
115,57.5,96.41
116,58.0,96.55
117,58.5,96.6
118,59.0,96.78
119,59.5,96.8
120,60.0,96.9
121,60.5,96.97
122,61.0,97.11
123,61.5,97.23
124,62.0,97.29
125,62.5,97.43
126,63.0,97.53
127,63.5,97.62
128,64.0,97.76
129,64.5,97.81
130,65.0,97.9
131,65.5,97.95
132,66.0,97.97
133,66.5,98.01
134,67.0,98.03
135,67.5,98.15
136,68.0,98.15
137,68.5,98.17
138,69.0,98.3
139,69.5,98.32
140,70.0,98.32
141,70.5,98.34
142,71.0,98.42
143,71.5,98.43
144,72.0,98.45
145,73.0,98.5
146,73.5,98.61
147,74.0,98.61
148,74.5,98.66
149,75.0,98.77
150,75.5,98.82
151,76.0,98.89
152,76.5,98.92
153,77.0,99.0
154,78.0,99.08
155,78.5,99.08
156,79.0,99.08
157,79.5,99.11
158,80.0,99.16
159,80.5,99.21
160,81.0,99.25
161,81.5,99.28
162,82.0,99.28
163,82.5,99.3
164,83.0,99.3
165,83.5,99.32
166,84.0,99.37
167,84.5,99.37
168,85.0,99.4
169,85.5,99.42
170,86.0,99.42
171,86.5,99.44
172,87.0,99.55
173,87.5,99.57
174,88.0,99.57
175,88.5,99.62
176,89.0,99.65
177,89.5,99.67
178,90.0,99.67
179,90.5,99.69
180,91.0,99.72
181,91.5,99.72
182,92.0,99.77
183,93.0,99.77
184,93.5,99.77
185,94.0,99.78
186,94.5,99.8
187,95.0,99.82
188,95.5,99.82
189,96.0,99.87
190,96.5,99.87
191,97.0,99.9
192,97.5,99.9
193,98.0,99.97
194,98.5,100.0
195,99.0,100.0
196,99.5,100.0
197,100.0,100.0
